 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
#     -1     3       5.6405339310E-002
#     -1     4       1.7710043234E-003
#      0    -3       1.0394867759E-003
#      0    -2       1.7598750359E-002
#      0    -1       1.8208529354E-002
#      0     0       6.1607833670E-002
#      0     1       3.3748565959E-002
#      0     2       3.8264179469E-002
#      0     3       1.1244482589E-003
#      1    -2       8.9089340155E-002
#      1    -1       3.4913041925E-002
#      1     0       5.4799808709E-002
#      1     1       5.5813955029E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.400000E+01
#     -9     3       2.2953497509E-007
#     -9     4       3.2750975043E-007
#     -9     5       6.9978960226E-008
#     -9     6       2.5632030297E-008
#     -8     1       3.2047515780E-007
#     -8     2       3.5854896130E-006
#     -8     3       1.0129945177E-005
#     -8     4       6.2362588089E-006
#     -8     5       9.9305845627E-007
#     -8     6       3.4683853958E-007
#     -8     7       7.5922604829E-009
#     -7     0       1.6352908962E-006
#     -7     1       2.9117296566E-005
#     -7     2       9.9436612538E-005
#     -7     3       1.2996669696E-004
#     -7     4       3.4167553708E-005
#     -7     5       1.6897937511E-005
#     -7     6       1.7037473209E-006
#     -7     7       8.7254051829E-008
#     -6    -1       6.0010269239E-006
#     -6     0       1.0843907463E-004
#     -6     1       5.8434101746E-004
#     -6     2       8.7793731227E-004
#     -6     3       5.8001807554E-004
#     -6     4       2.3179300833E-004
#     -6     5       1.1435878065E-004
#     -6     6       7.1517828560E-006
#     -6     7       6.7676846150E-007
#     -5    -2       8.7694871128E-006
#     -5    -1       2.5608749328E-004
#     -5     0       1.7882436582E-003
#     -5     1       3.9764756628E-003
#     -5     2       3.5180661247E-003
#     -5     3       1.4032748152E-003
#     -5     4       1.6739257802E-003
#     -5     5       2.5802058438E-004
#     -5     6       4.3271030042E-005
#     -5     7       3.7854421619E-007
#     -4    -3       1.1679006976E-005
#     -4    -2       3.3049788361E-004
#     -4    -1       2.7809053449E-003
#     -4     0       1.1935952169E-002
#     -4     1       1.1927884531E-002
#     -4     2       6.6572820286E-003
#     -4     3       7.1311256636E-003
#     -4     4       4.1255443949E-003
#     -4     5       6.9276860987E-004
#     -4     6       6.0307055349E-005
#     -3    -3       2.3972189879E-004
#     -3    -2       3.3211660917E-003
#     -3    -1       1.4541604297E-002
#     -3     0       3.6381989070E-002
#     -3     1       1.6792910280E-002
#     -3     2       1.0385983959E-002
#     -3     3       2.4878051247E-002
#     -3     4       4.5712902061E-003
#     -3     5       1.6631246939E-003
#     -3     6       9.3953384819E-005
