 Diffraction intensities for potential:x6x6_05D10001.in                        
#    -39     8       1.5623962970E-006
#    -39     9       1.1293646758E-005
#    -39    10       4.4935340484E-007
#    -39    11       5.3180598056E-007
#    -39    12       9.7576098577E-006
#    -39    13       5.6030940213E-006
#    -39    14       6.3221428794E-007
#    -39    15       7.1688643028E-005
#    -39    16       2.4270910424E-007
#    -39    17       5.4802955802E-006
#    -39    18       1.5837737983E-004
#    -39    19       8.9737461779E-007
#    -39    20       2.5317033541E-007
#    -39    21       6.3983254763E-005
#    -39    22       2.8408158519E-006
#    -39    23       1.1621975316E-006
#    -39    24       1.4232667960E-004
#    -39    25       3.5691230596E-006
#    -39    26       2.4732414925E-006
#    -39    27       1.8100858300E-004
#    -39    28       1.5450789369E-005
#    -39    29       9.3352550375E-006
#    -39    30       1.4146754169E-004
#    -39    31       4.0072724886E-006
#    -39    32       4.4105872984E-006
#    -39    33       3.5992289415E-005
#    -38   -16       1.0160469015E-006
#    -38   -15       6.5009857432E-005
#    -38   -14       7.5573127418E-005
#    -38   -13       1.0050547776E-004
#    -38   -12       9.2037349515E-006
#    -38   -11       8.7625113475E-006
#    -38   -10       6.9343063436E-006
#    -38    -9       1.2201056750E-004
#    -38    -8       1.0029004968E-004
#    -38    -7       1.0558779979E-004
#    -38    -6       4.1580664410E-006
#    -38    -5       2.0371678817E-005
#    -38    -4       7.7307362918E-006
#    -38    -3       1.8058664329E-004
#    -38    -2       2.0597578781E-004
#    -38    -1       1.8443262370E-004
#    -38     0       2.8033471571E-005
#    -38     1       2.4567480411E-005
#    -38     2       5.8591868009E-006
#    -38     3       1.5188019287E-004
#    -38     4       8.3107528206E-005
#    -38     5       3.7245095416E-005
#    -38     6       9.1909176468E-006
#    -38     7       2.9738217717E-006
#    -38     8       5.6255834683E-006
#    -38     9       1.9016433759E-005
#    -38    10       1.8974349099E-005
#    -38    11       2.2311338340E-005
#    -38    12       1.5106969849E-006
#    -38    13       2.9846245772E-006
#    -38    14       6.2855752521E-006
#    -38    15       6.1947600383E-005
#    -38    16       9.4010674921E-005
#    -38    17       6.5222624989E-005
#    -38    18       1.0452723903E-005
#    -38    19       1.0103956636E-006
#    -38    20       6.6840358628E-007
#    -38    21       4.8821851226E-005
#    -38    22       3.2638020865E-005
#    -38    23       7.2972735150E-005
#    -38    24       1.6316803920E-005
#    -38    25       3.9776658847E-006
#    -38    26       1.7490381924E-005
#    -38    27       5.6477762852E-004
#    -38    28       3.3596524402E-004
#    -38    29       3.9539058859E-004
#    -38    30       1.0761821123E-005
#    -38    31       1.2875151752E-005
#    -38    32       2.7364825788E-005
#    -38    33       2.7323257983E-005
#    -37   -17       2.6207980043E-006
#    -37   -16       1.2768512198E-005
#    -37   -15       1.3372486559E-005
#    -37   -14       2.5028466402E-005
#    -37   -13       2.8207262821E-005
#    -37   -12       4.1557429036E-005
#    -37   -11       3.0378022634E-005
#    -37   -10       2.6907295983E-005
#    -37    -9       2.6612415663E-005
#    -37    -8       1.8668180018E-005
#    -37    -7       1.8966401738E-005
#    -37    -6       2.5709705957E-005
#    -37    -5       4.9749007334E-005
#    -37    -4       2.7885878564E-005
#    -37    -3       7.1160514184E-005
#    -37    -2       4.2302038252E-005
#    -37    -1       3.0891687291E-005
#    -37     0       5.7042885158E-005
#    -37     1       3.9306389894E-005
#    -37     2       1.7031252780E-005
#    -37     3       4.1804257449E-005
#    -37     4       3.0034138202E-005
#    -37     5       1.4515949243E-005
#    -37     6       1.7827736919E-005
#    -37     7       8.2764997788E-006
#    -37     8       1.5779889085E-006
#    -37     9       3.8895251519E-007
#    -37    10       3.6961516307E-006
#    -37    11       3.7937869465E-006
#    -37    12       3.7612337965E-006
#    -37    13       9.1828544802E-007
#    -37    14       2.0845491989E-005
#    -37    15       4.3380996303E-006
#    -37    16       1.0684919033E-006
#    -37    17       3.2815945343E-006
#    -37    18       1.9384157396E-006
#    -37    19       5.8486248500E-006
#    -37    20       1.3109594823E-006
#    -37    21       5.3791371944E-007
#    -37    22       2.7766547609E-006
#    -37    23       4.8353584147E-006
#    -37    24       1.6457473302E-005
#    -37    25       7.4640033500E-005
#    -37    26       1.0076166718E-004
#    -37    27       6.0322143959E-005
#    -37    28       1.1462205264E-004
#    -37    29       8.6907236558E-005
#    -37    30       5.1136546038E-005
#    -37    31       4.9358764347E-005
#    -37    32       8.5326774240E-005
#    -37    33       4.6728613623E-005
#    -36   -18       2.3883948659E-004
#    -36   -17       2.0105448761E-005
#    -36   -16       3.5834807542E-005
#    -36   -15       4.8217171393E-006
#    -36   -14       5.4436400999E-005
#    -36   -13       5.0079726299E-005
#    -36   -12       4.7378140172E-004
#    -36   -11       4.9825075503E-005
#    -36   -10       3.9118335352E-005
#    -36    -9       4.8101027448E-006
#    -36    -8       3.1565800531E-005
#    -36    -7       3.3862368108E-005
#    -36    -6       9.0753882036E-005
#    -36    -5       3.5598795586E-005
#    -36    -4       4.3199448906E-005
#    -36    -3       1.3419327144E-005
#    -36    -2       5.9619917836E-005
#    -36    -1       3.3732352062E-005
#    -36     0       8.6829532206E-004
#    -36     1       3.4069800794E-005
#    -36     2       3.1198046835E-005
#    -36     3       2.3586348086E-005
#    -36     4       2.9576729334E-005
#    -36     5       1.3450615919E-005
#    -36     6       8.1104481636E-004
#    -36     7       5.1349821137E-006
#    -36     8       1.6856515176E-006
#    -36     9       1.3798918954E-006
#    -36    10       3.6921708179E-006
#    -36    11       1.3275523137E-005
#    -36    12       8.9444915257E-004
#    -36    13       9.0394055700E-007
#    -36    14       6.1956861966E-006
#    -36    15       6.7639874712E-007
#    -36    16       2.0410984039E-005
#    -36    17       1.2811379774E-005
#    -36    18       8.2330988226E-004
#    -36    19       8.1850569309E-006
#    -36    20       1.9626851733E-006
#    -36    21       4.6025049152E-006
#    -36    22       5.5511149245E-006
#    -36    23       1.7401880617E-005
#    -36    24       6.2360966939E-005
#    -36    25       9.7789838034E-005
#    -36    26       5.3106725184E-005
#    -36    27       7.0107233260E-005
#    -36    28       1.1412735284E-004
#    -36    29       1.1976107350E-004
#    -36    30       5.2381684974E-004
#    -36    31       5.4083254375E-005
#    -36    32       6.7078815443E-005
#    -36    33       4.6627692400E-006
#    -35   -19       1.7155177852E-005
#    -35   -18       1.5458345976E-005
#    -35   -17       2.4608169745E-005
#    -35   -16       3.0606680094E-005
#    -35   -15       3.7652791378E-005
#    -35   -14       4.0871668171E-005
#    -35   -13       4.0868602192E-005
#    -35   -12       3.7752036554E-005
#    -35   -11       3.9065426809E-005
#    -35   -10       2.6705307731E-005
#    -35    -9       2.2543226262E-005
#    -35    -8       3.7057658096E-005
#    -35    -7       2.6009551238E-005
#    -35    -6       2.9738737569E-005
#    -35    -5       2.5865810283E-005
#    -35    -4       3.0420601496E-005
#    -35    -3       2.5526436019E-005
#    -35    -2       5.2197441467E-005
#    -35    -1       1.8358053088E-005
#    -35     0       3.0626329450E-005
#    -35     1       4.2665199373E-005
#    -35     2       3.3598942855E-005
#    -35     3       3.1601401730E-005
#    -35     4       3.1770166654E-005
#    -35     5       2.3370212335E-006
#    -35     6       4.2784003792E-005
#    -35     7       1.8720253258E-005
#    -35     8       5.2642279850E-006
#    -35     9       3.6557992886E-006
#    -35    10       2.2654181496E-005
#    -35    11       1.0908621666E-005
#    -35    12       1.4914764993E-005
#    -35    13       2.0154508069E-005
#    -35    14       2.7369046535E-005
#    -35    15       2.9111055237E-005
#    -35    16       6.7128556989E-006
#    -35    17       2.1122685018E-005
#    -35    18       1.9924255786E-005
#    -35    19       1.0392553655E-005
#    -35    20       1.4299800566E-005
#    -35    21       6.2941616667E-006
#    -35    22       1.2473422310E-005
#    -35    23       1.9749153517E-005
#    -35    24       1.0603623758E-005
#    -35    25       6.2538110619E-005
#    -35    26       4.7619454530E-005
#    -35    27       8.2998888740E-005
#    -35    28       7.0216503810E-005
#    -35    29       7.6237796608E-005
#    -35    30       4.0141106696E-005
#    -35    31       8.2746167407E-005
#    -35    32       7.8636078303E-005
#    -35    33       1.1933130660E-004
#    -34   -20       2.5430143661E-006
#    -34   -19       7.4436168791E-006
#    -34   -18       6.9079598383E-006
#    -34   -17       1.4462427866E-004
#    -34   -16       1.7184876581E-004
#    -34   -15       2.3347618019E-004
#    -34   -14       2.2358760714E-005
#    -34   -13       1.5980989670E-005
#    -34   -12       1.0772220409E-005
#    -34   -11       1.7662440246E-004
#    -34   -10       1.3656095782E-004
#    -34    -9       1.3662827301E-004
#    -34    -8       1.2044892699E-005
#    -34    -7       5.1600826385E-006
#    -34    -6       4.0648895270E-006
#    -34    -5       1.2083312499E-004
#    -34    -4       6.9782994608E-005
#    -34    -3       1.0795915811E-004
#    -34    -2       5.1438874561E-006
#    -34    -1       3.1428214047E-007
#    -34     0       1.6914252093E-005
#    -34     1       1.3036027622E-004
#    -34     2       9.3742178951E-005
#    -34     3       1.5034804460E-004
#    -34     4       1.0254014769E-006
#    -34     5       1.2171070177E-005
#    -34     6       1.1045791398E-005
#    -34     7       8.5320668458E-005
#    -34     8       4.0956545553E-005
#    -34     9       5.0623840201E-005
#    -34    10       8.0373478451E-006
#    -34    11       9.7387916346E-006
#    -34    12       2.1097302593E-005
#    -34    13       1.4467842217E-004
#    -34    14       1.8385805978E-004
#    -34    15       1.5567627604E-004
#    -34    16       2.0568798033E-005
#    -34    17       2.4732309465E-005
#    -34    18       1.5638272984E-005
#    -34    19       1.2617520206E-004
#    -34    20       3.6362765981E-005
#    -34    21       4.7607201107E-005
#    -34    22       4.7404341111E-006
#    -34    23       4.2288572757E-006
#    -34    24       1.1191722137E-006
#    -34    25       2.4574806418E-004
#    -34    26       2.7870049512E-004
#    -34    27       3.1349666557E-004
#    -34    28       5.0550101945E-005
#    -34    29       1.1853612005E-005
#    -34    30       6.9056144535E-006
