 Diffraction intensities for potential:g-1x1_00D10001.in                       
#     -1    -3       2.3207463252E-003
#     -1    -2       2.2566585525E-002
#     -1    -1       7.0633437066E-002
#     -1     0       9.5459237528E-002
#     -1     1       8.4098541369E-002
#     -1     2       5.9519118312E-002
#      0    -5       1.6382202301E-005
#      0    -4       3.8052644095E-004
#      0    -3       2.0458244063E-003
#      0    -2       1.7306751890E-002
#      0    -1       8.4098511787E-002
#      0     0       6.3517344036E-002
#      0     1       2.7061529953E-002
#      1    -4       2.1004865576E-003
#      1    -3       1.8035610244E-002
#      1    -2       5.9519142665E-002
#      1    -1       2.7061532683E-002
#    -10     2       4.3642478658E-010
#    -10     3       1.6659020934E-009
#    -10     4       1.4789371847E-008
#     -9     0       1.6976303654E-009
#     -9     1       9.2266087076E-009
#     -9     2       2.5037004854E-008
#     -9     3       9.3321760531E-008
#     -9     4       9.6708270907E-007
#     -9     5       5.2137943671E-006
#     -8    -2       4.3643816916E-010
#     -8    -1       9.2266604964E-009
#     -8     0       9.5762442818E-008
#     -8     1       3.9164105800E-007
#     -8     2       1.1043390753E-006
#     -8     3       7.0312364763E-007
#     -8     4       1.0797632463E-006
#     -8     5       1.1098865967E-005
#     -7    -3       1.6655188684E-009
#     -7    -2       2.5031948946E-008
#     -7    -1       3.9165430702E-007
#     -7     0       1.9462403217E-006
#     -7     1       7.1906097023E-006
#     -7     2       1.6934944269E-005
#     -7     3       1.7556271677E-005
#     -7     4       1.5800000741E-006
#     -7     5       6.0173059511E-005
#     -6    -4       1.4785766071E-008
#     -6    -3       9.3234475914E-008
#     -6    -2       1.1044983005E-006
#     -6    -1       7.1904205997E-006
#     -6     0       2.8306158040E-005
#     -6     1       8.4727954083E-005
#     -6     2       1.3988197960E-004
#     -6     3       1.4569643566E-004
#     -6     4       3.8747485731E-006
#     -6     5       1.1691377247E-004
#     -5    -4       9.6670587436E-007
#     -5    -3       7.0324049293E-007
#     -5    -2       1.6935755067E-005
#     -5    -1       8.4725790859E-005
#     -5     0       3.1670363239E-004
#     -5     1       6.8812649054E-004
#     -5     2       9.0248857848E-004
#     -5     3       6.1517572119E-004
#     -5     4       9.6485534114E-005
#     -5     5       4.2224570060E-004
#     -4    -5       5.2140126496E-006
#     -4    -4       1.0787966336E-006
#     -4    -3       1.7560527879E-005
#     -4    -2       1.3987590564E-004
#     -4    -1       6.8812319236E-004
#     -4     0       2.4669817772E-003
#     -4     1       3.9674745245E-003
#     -4     2       4.2311188471E-003
#     -4     3       1.4701247717E-003
#     -4     4       1.9039763257E-003
#     -3    -5       1.1106131795E-005
#     -3    -4       1.5832966562E-006
#     -3    -3       1.4569155740E-004
#     -3    -2       9.0248248082E-004
#     -3    -1       3.9674272044E-003
#     -3     0       1.3632310334E-002
#     -3     1       1.8525797582E-002
#     -3     2       1.2902369556E-002
#     -3     3       1.6756909519E-003
#     -2    -5       6.0197074936E-005
#     -2    -4       3.8732921121E-006
#     -2    -3       6.1517788656E-004
#     -2    -2       4.2310427088E-003
#     -2    -1       1.8525677800E-002
#     -2     0       4.9155490399E-002
#     -2     1       7.2263496708E-002
#     -2     2       2.0376421790E-002
#     -1    -5       1.1689314322E-004
#     -1    -4       9.6499219377E-005
#     -1    -3       1.4700969553E-003
#     -1    -2       1.2902104273E-002
#     -1    -1       7.2263508645E-002
#     -1     0       1.1575446538E-001
#     -1     1       1.7245029113E-001
#      0    -5       4.2222240415E-004
#      0    -4       1.9041868487E-003
#      0    -3       1.6757920498E-003
#      0    -2       2.0375782501E-002
#      0    -1       1.7245147827E-001
#      0     0       1.9243033053E-001
