 Diffraction intensities for potential:pot10001.in                             
#      7    -5       6.9770522180E-003
#      7    -4       2.3962677674E-003
#      7    -3       1.3264758604E-003
#      7    -2       4.4658371589E-003
#      7    -1       2.6444961742E-003
#    -18     5       9.0267102878E-005
#    -18     6       3.4575077578E-005
#    -17     1       3.6798233192E-005
#    -17     2       1.5200584627E-004
#    -17     3       8.8745840292E-005
#    -17     4       1.0641689025E-004
#    -17     5       1.5015820054E-004
#    -17     6       1.1804543649E-004
#    -17     7       2.2600332483E-004
#    -17     8       1.9010142257E-004
#    -17     9       2.6126457303E-005
#    -16    -1       3.6797164682E-005
#    -16     0       6.1492704217E-005
#    -16     1       3.3122690107E-004
#    -16     2       6.5497744670E-004
#    -16     3       6.2135109073E-004
#    -16     4       6.0508995223E-004
#    -16     5       4.9497111978E-004
#    -16     6       3.5780903699E-004
#    -16     7       1.2344277209E-004
#    -16     8       1.0274656473E-004
#    -16     9       2.6731044065E-005
#    -16    10       1.0168939484E-005
#    -15    -2       1.5200810529E-004
#    -15    -1       3.3121711341E-004
#    -15     0       1.9663141461E-004
#    -15     1       4.1960793666E-004
#    -15     2       5.6793749350E-004
#    -15     3       8.5890997551E-004
#    -15     4       1.2708611347E-003
#    -15     5       1.3329949443E-003
#    -15     6       1.5101404290E-003
#    -15     7       1.7156650044E-003
#    -15     8       1.0635715179E-003
#    -15     9       5.1752588100E-004
#    -15    10       3.1237832809E-004
#    -14    -3       8.8752026088E-005
#    -14    -2       6.5499692586E-004
#    -14    -1       4.1962696426E-004
#    -14     0       8.7012115732E-004
#    -14     1       7.8992191116E-004
#    -14     2       2.5789919753E-004
#    -14     3       7.4789900768E-005
#    -14     4       2.5652514916E-004
#    -14     5       9.8693073394E-004
#    -14     6       1.8444133371E-003
#    -14     7       2.8822280531E-003
#    -14     8       1.0369773634E-003
#    -14     9       2.6521226014E-004
#    -14    10       6.7980603420E-005
#    -14    11       5.8499593050E-005
#    -13    -5       9.0270296935E-005
#    -13    -4       1.0641942830E-004
#    -13    -3       6.2136281182E-004
#    -13    -2       5.6795229092E-004
#    -13    -1       7.8991712441E-004
#    -13     0       2.3781131032E-003
#    -13     1       9.1763219349E-004
#    -13     2       2.8375633179E-003
#    -13     3       1.4973102087E-003
#    -13     4       1.2781580361E-003
#    -13     5       5.2318534974E-004
#    -13     6       2.8979151792E-004
#    -13     7       1.9272505549E-004
#    -13     8       1.7838750348E-004
#    -13     9       2.9996938461E-005
#    -13    10       3.6956914814E-005
#    -13    11       5.0290830987E-004
#    -12    -6       3.4578009316E-005
#    -12    -5       1.5016260272E-004
#    -12    -4       6.0510006267E-004
#    -12    -3       8.5891512322E-004
#    -12    -2       2.5790307573E-004
#    -12    -1       9.1759781638E-004
#    -12     0       6.8632033179E-004
#    -12     1       4.6731215904E-004
#    -12     2       1.8841744412E-003
#    -12     3       2.9846652396E-003
#    -12     4       2.6597971792E-003
#    -12     5       6.0651725087E-003
#    -12     6       4.0242730020E-003
#    -12     7       2.9714952401E-003
#    -12     8       1.2186733197E-003
#    -12     9       1.5140136010E-004
#    -12    10       8.3596798505E-005
#    -12    11       2.1988596393E-004
#    -11    -6       1.1804597463E-004
#    -11    -5       4.9498062745E-004
#    -11    -4       1.2708866051E-003
#    -11    -3       7.4799153687E-005
#    -11    -2       2.8376117231E-003
#    -11    -1       4.6730655153E-004
#    -11     0       2.2764136574E-003
#    -11     1       3.0583419999E-005
#    -11     2       3.8173589263E-003
#    -11     3       1.0571533492E-003
#    -11     4       4.9368463195E-003
#    -11     5       5.3205031312E-003
#    -11     6       5.1150287570E-003
#    -11     7       4.2978307307E-003
#    -11     8       1.4446273359E-003
#    -11     9       3.3796655283E-004
#    -11    10       1.6603720311E-004
#    -11    11       1.1578031675E-004
#    -10    -7       2.2600474208E-004
#    -10    -6       3.5780728584E-004
#    -10    -5       1.3330041780E-003
#    -10    -4       2.5653351704E-004
#    -10    -3       1.4973141700E-003
#    -10    -2       1.8841955334E-003
#    -10    -1       3.0576019032E-005
#    -10     0       1.2102033099E-003
#    -10     1       1.1826662410E-003
#    -10     2       1.2474944574E-003
#    -10     3       3.8343151301E-003
#    -10     4       7.3458500155E-004
#    -10     5       7.0361408418E-003
#    -10     6       2.7302994232E-004
#    -10     7       2.5699975102E-003
#    -10     8       5.7469170967E-005
#    -10     9       9.1631041808E-005
#    -10    10       3.7418242504E-004
#     -9    -8       1.9010338819E-004
#     -9    -7       1.2344823474E-004
#     -9    -6       1.5101522149E-003
#     -9    -5       9.8692486442E-004
#     -9    -4       1.2781833677E-003
#     -9    -3       2.9846417232E-003
#     -9    -2       3.8173780786E-003
#     -9    -1       1.1826687050E-003
#     -9     0       5.4472580908E-003
#     -9     1       3.8606979967E-004
#     -9     2       4.7579686967E-003
#     -9     3       1.5695508143E-003
#     -9     4       2.4328432808E-003
#     -9     5       3.0433023525E-003
#     -9     6       1.4101619916E-004
#     -9     7       1.8377110312E-003
