 Diffraction intensities for potential:ensembletest210006.in                   
#    -31    12       3.6009423139E-006
#    -31    13       7.9283459132E-006
#    -31    14       3.9888756506E-007
#    -31    15       6.0074968908E-006
#    -31    16       2.1121279549E-006
#    -31    17       1.1794934130E-006
#    -31    18       1.1346011933E-005
#    -31    19       1.8231492610E-005
#    -31    20       1.4003775335E-005
#    -31    21       1.3602713626E-005
#    -31    22       8.8979479256E-006
#    -31    23       8.6660336745E-005
#    -31    24       2.8515873158E-004
#    -31    25       1.6694002669E-004
#    -31    26       1.5492569711E-005
#    -31    27       1.8309305368E-005
#    -31    28       1.3921796410E-004
#    -30   -15       6.0379879321E-005
#    -30   -14       5.2676779109E-005
#    -30   -13       4.4955033348E-006
#    -30   -12       6.0809761618E-006
#    -30   -11       7.5332484776E-005
#    -30   -10       1.2736279948E-004
#    -30    -9       6.9740863713E-005
#    -30    -8       6.0640690155E-006
#    -30    -7       7.9908751381E-006
#    -30    -6       5.8677145600E-005
#    -30    -5       1.4454590423E-005
#    -30    -4       7.6926733936E-005
#    -30    -3       1.2767860253E-005
#    -30    -2       1.0941224598E-005
#    -30    -1       6.7579371664E-005
#    -30     0       5.6456868453E-004
#    -30     1       3.7659545497E-005
#    -30     2       1.0571947995E-006
#    -30     3       1.3540758001E-005
#    -30     4       3.4313937511E-005
#    -30     5       9.4472026445E-004
#    -30     6       3.5604096587E-005
#    -30     7       3.8150388999E-006
#    -30     8       5.8965015846E-006
#    -30     9       8.4249735842E-006
#    -30    10       1.0064674965E-003
#    -30    11       1.6766401357E-005
#    -30    12       1.3765226445E-006
#    -30    13       9.5438619774E-006
#    -30    14       1.0454669892E-005
#    -30    15       5.3386886265E-004
#    -30    16       5.2421167743E-006
#    -30    17       3.8684491086E-007
#    -30    18       4.7932182547E-006
#    -30    19       2.7393668265E-008
#    -30    20       2.2349846659E-005
#    -30    21       1.3976241711E-004
#    -30    22       3.9042472699E-005
#    -30    23       3.5181563481E-005
#    -30    24       1.9822123866E-004
#    -30    25       1.9207945887E-004
#    -30    26       1.2244984083E-004
#    -30    27       1.1536522719E-005
#    -30    28       3.0071277354E-006
#    -29   -16       8.2915762077E-006
#    -29   -15       3.5727252656E-005
#    -29   -14       1.0017918697E-004
#    -29   -13       9.3074045766E-005
#    -29   -12       6.1377557314E-006
#    -29   -11       1.1769409272E-005
#    -29   -10       6.1767428842E-005
#    -29    -9       1.1156944179E-004
#    -29    -8       7.6290494283E-005
#    -29    -7       9.1232226188E-006
#    -29    -6       1.6026601490E-005
#    -29    -5       6.1868951117E-005
#    -29    -4       9.9505632651E-005
#    -29    -3       6.5775425901E-005
#    -29    -2       1.0867343181E-005
#    -29    -1       1.0243810794E-005
#    -29     0       5.1684597762E-005
#    -29     1       6.0325644965E-005
#    -29     2       3.3790947016E-005
#    -29     3       5.4698636287E-006
#    -29     4       8.0836167871E-006
#    -29     5       4.7132216551E-005
#    -29     6       7.7874739043E-005
#    -29     7       2.8634715376E-005
#    -29     8       2.6791639173E-006
#    -29     9       3.1686151165E-007
#    -29    10       2.7436306734E-005
#    -29    11       7.8777987719E-005
#    -29    12       4.4868382072E-005
#    -29    13       1.9224371838E-006
#    -29    14       1.7425095134E-005
#    -29    15       2.3181364686E-005
#    -29    16       6.9433797482E-006
#    -29    17       7.3157007575E-006
#    -29    18       1.8735572596E-006
#    -29    19       2.8151733413E-006
#    -29    20       3.6036736512E-005
#    -29    21       2.0302063898E-004
#    -29    22       1.7773114854E-004
#    -29    23       6.3049659005E-005
#    -29    24       4.1927999683E-005
#    -29    25       1.1514122347E-004
#    -29    26       1.2911374280E-004
#    -29    27       5.2870205367E-005
#    -28   -16       6.0440395430E-006
#    -28   -15       6.0755635744E-006
#    -28   -14       5.0619425853E-005
#    -28   -13       9.8348959851E-005
#    -28   -12       9.2887594260E-005
#    -28   -11       1.8316110624E-005
#    -28   -10       9.1626392801E-006
#    -28    -9       6.7979795507E-005
#    -28    -8       8.7836502184E-005
#    -28    -7       5.6402659710E-005
#    -28    -6       4.2933988888E-006
#    -28    -5       9.4674515466E-006
#    -28    -4       3.8735668251E-005
#    -28    -3       6.5829036684E-005
#    -28    -2       4.7091650327E-005
#    -28    -1       3.0461956307E-006
#    -28     0       1.0846536537E-005
#    -28     1       4.9815167275E-005
#    -28     2       8.1220274822E-005
#    -28     3       4.7058556225E-005
#    -28     4       6.3704793473E-006
#    -28     5       1.6634068625E-005
#    -28     6       5.8781246848E-005
#    -28     7       5.2035463008E-005
#    -28     8       1.5534569926E-005
#    -28     9       5.3168848507E-006
#    -28    10       2.8921732260E-005
#    -28    11       1.4835542860E-004
#    -28    12       2.2505670805E-004
#    -28    13       1.1417679279E-004
#    -28    14       1.0298288202E-005
#    -28    15       3.2503192097E-006
#    -28    16       1.9536744598E-005
#    -28    17       1.2605934361E-005
#    -28    18       3.5032166396E-005
#    -28    19       7.9730705350E-006
#    -28    20       1.8802656149E-005
#    -28    21       9.1506682649E-005
#    -28    22       3.1183370199E-004
#    -28    23       1.7940318127E-004
#    -28    24       2.5790566923E-005
#    -28    25       3.0659130536E-006
#    -28    26       1.3254117251E-004
#    -28    27       6.7044484016E-005
#    -27   -17       5.0066019644E-005
#    -27   -16       3.9398888039E-005
#    -27   -15       8.4840371408E-006
#    -27   -14       1.0037004937E-005
#    -27   -13       1.0954313485E-004
#    -27   -12       1.7326518421E-004
#    -27   -11       1.0306551185E-004
#    -27   -10       1.2026087935E-005
#    -27    -9       1.3120426454E-005
#    -27    -8       7.1118177734E-005
#    -27    -7       6.5622847249E-005
#    -27    -6       2.8369838025E-005
#    -27    -5       4.4844845971E-006
#    -27    -4       6.3651605829E-006
#    -27    -3       3.7221993579E-005
#    -27    -2       5.6859872408E-005
#    -27    -1       3.6938934879E-005
#    -27     0       4.8385101512E-006
#    -27     1       9.4141975915E-006
#    -27     2       5.4102520335E-005
#    -27     3       9.2594899088E-005
#    -27     4       5.9224992154E-005
#    -27     5       9.5080928500E-006
#    -27     6       1.2611070296E-005
#    -27     7       3.6273322646E-005
#    -27     8       6.1703272597E-005
#    -27     9       7.4780054647E-005
#    -27    10       1.5537635310E-005
#    -27    11       4.7199921443E-005
#    -27    12       2.5553077699E-004
#    -27    13       2.3890184055E-004
#    -27    14       9.0691298482E-005
#    -27    15       9.2042998204E-006
#    -27    16       2.4121541740E-006
#    -27    17       6.7192658931E-006
#    -27    18       3.7901546571E-005
#    -27    19       4.7881352377E-005
#    -27    20       8.2911503786E-006
#    -27    21       1.5198860389E-005
#    -27    22       1.9807935274E-004
#    -27    23       3.1045042269E-004
#    -27    24       1.2985599117E-004
#    -27    25       2.6929288466E-005
#    -27    26       2.9634185041E-005
#    -27    27       1.4793906488E-004
#    -26   -18       9.0024355771E-006
#    -26   -17       6.8625730032E-005
#    -26   -16       9.5770158540E-005
#    -26   -15       7.4203233273E-005
#    -26   -14       2.5206928977E-005
#    -26   -13       1.2044203662E-005
#    -26   -12       1.1146549407E-004
#    -26   -11       1.3057881176E-004
#    -26   -10       5.7038951178E-005
#    -26    -9       5.3237563273E-006
#    -26    -8       6.1050534333E-006
#    -26    -7       2.9247788741E-005
#    -26    -6       2.9028288107E-005
#    -26    -5       1.9248217290E-005
#    -26    -4       4.1300796949E-006
#    -26    -3       1.5237514610E-005
#    -26    -2       6.2384704876E-005
#    -26    -1       7.2026498893E-005
#    -26     0       4.0135527406E-005
#    -26     1       3.2911365010E-006
#    -26     2       1.1757473544E-005
#    -26     3       6.2635590914E-005
#    -26     4       1.0665861650E-004
#    -26     5       6.1300151464E-005
#    -26     6       1.2269190732E-005
#    -26     7       9.8510388626E-007
#    -26     8       4.0581920233E-005
#    -26     9       1.3657633019E-004
#    -26    10       1.1227921542E-004
#    -26    11       1.4314183069E-005
#    -26    12       3.3253349682E-005
#    -26    13       1.4910475089E-004
#    -26    14       9.2276667694E-005
#    -26    15       2.9343830849E-005
#    -26    16       1.6929691550E-006
#    -26    17       1.4073207335E-006
#    -26    18       1.9853382893E-005
#    -26    19       1.2424653235E-004
#    -26    20       1.0098081868E-004
#    -26    21       1.3882879490E-005
#    -26    22       3.4784239133E-005
#    -26    23       2.0645261995E-004
#    -26    24       3.5296238411E-004
#    -26    25       9.2368044644E-005
#    -26    26       2.4891321310E-005
#    -26    27       2.7338999117E-005
#    -25   -19       2.1156473090E-005
#    -25   -18       1.6245574736E-005
#    -25   -17       6.4750153591E-006
#    -25   -16       1.0766261541E-004
#    -25   -15       1.3887893376E-004
#    -25   -14       1.2536455127E-004
#    -25   -13       2.6276129718E-005
#    -25   -12       7.5638225562E-006
