 Diffraction intensities for potential:smallensembletest10002.in               
#    -20   -10       2.0777616120E-006
#    -20    -9       2.0808129021E-004
#    -20    -8       5.0444537507E-004
#    -20    -7       4.9786053086E-005
#    -20    -6       7.9102992845E-006
#    -20    -5       7.9101757636E-006
#    -20    -4       8.7783133608E-004
#    -20    -3       5.2814714345E-005
#    -20    -2       1.2345732375E-006
#    -20    -1       6.8104513464E-005
#    -20     0       2.5808230185E-003
#    -20     1       6.6732487656E-006
#    -20     2       2.8997189852E-005
#    -20     3       1.2062195414E-005
#    -20     4       3.6655397390E-003
#    -20     5       8.6476257097E-005
#    -20     6       5.1933400539E-006
#    -20     7       1.1190334003E-004
#    -20     8       5.8516413255E-003
#    -20     9       1.8608530069E-004
#    -20    10       2.1823250430E-005
#    -20    11       1.1386877639E-004
#    -20    12       3.4640225123E-003
#    -20    13       9.8011434370E-005
#    -20    14       3.5012191004E-006
#    -20    15       9.3696490486E-005
#    -20    16       1.4100412351E-003
#    -20    17       1.0139845847E-004
#    -20    18       8.4675015237E-006
#    -20    19       3.9949288217E-004
#    -20    20       3.0680485526E-004
#    -20    21       2.4856235847E-004
#    -19   -16       8.1923655899E-005
#    -19   -15       2.3019023167E-004
#    -19   -14       1.6115450872E-004
#    -19   -13       9.7222819746E-006
#    -19   -12       3.5574509301E-004
#    -19   -11       5.3428620439E-004
#    -19   -10       2.6118378487E-004
#    -19    -9       2.2259178365E-006
#    -19    -8       5.8067270871E-005
#    -19    -7       2.1428391688E-005
#    -19    -6       4.2453756730E-005
#    -19    -5       8.3504117280E-006
#    -19    -4       4.0111858549E-005
#    -19    -3       6.6342055873E-005
#    -19    -2       3.4408410500E-005
#    -19    -1       5.9320667745E-006
#    -19     0       2.6362677089E-005
#    -19     1       1.2073004344E-004
#    -19     2       1.3210108519E-004
#    -19     3       2.0006053404E-005
#    -19     4       5.1903996706E-005
#    -19     5       1.7542659277E-005
#    -19     6       9.3791451787E-006
#    -19     7       5.1003500675E-006
#    -19     8       1.4240261267E-004
#    -19     9       3.4280995604E-004
#    -19    10       3.0874060328E-004
#    -19    11       2.0231311106E-005
#    -19    12       1.7110147408E-004
#    -19    13       3.0126943296E-004
#    -19    14       6.2494256678E-005
#    -19    15       4.8221476177E-006
#    -19    16       1.3057256294E-004
#    -19    17       2.9924384334E-004
#    -19    18       2.8722300422E-004
#    -19    19       1.7521173761E-006
#    -19    20       8.4105510439E-004
#    -19    21       4.5734120677E-004
#    -18   -16       1.4047072365E-006
#    -18   -15       1.4872284951E-004
#    -18   -14       4.0220427634E-004
#    -18   -13       1.8032656153E-004
#    -18   -12       8.5498075370E-006
#    -18   -11       2.5715546027E-004
#    -18   -10       3.4582237140E-004
#    -18    -9       7.6093035978E-005
#    -18    -8       1.7486949210E-005
#    -18    -7       6.0892764064E-006
#    -18    -6       5.7335051534E-005
#    -18    -5       7.6083029971E-005
#    -18    -4       3.7274656823E-006
#    -18    -3       4.5857690915E-005
#    -18    -2       4.0643598255E-005
#    -18    -1       4.9501818396E-005
#    -18     0       1.3063319793E-005
#    -18     1       3.0726562895E-004
#    -18     2       3.5949961139E-004
#    -18     3       2.1162838076E-005
#    -18     4       2.6368596197E-005
#    -18     5       2.9182047209E-005
#    -18     6       2.5696935044E-004
#    -18     7       1.5807254274E-004
#    -18     8       2.6428564767E-005
#    -18     9       4.3859470562E-004
#    -18    10       8.3561644173E-004
#    -18    11       4.9709338347E-004
#    -18    12       3.2900942945E-005
#    -18    13       3.0912767504E-004
#    -18    14       3.6269346138E-004
#    -18    15       1.9835336544E-004
#    -18    16       1.5140847919E-005
#    -18    17       2.0596718105E-004
#    -18    18       3.4694581349E-004
#    -18    19       3.5223521418E-004
#    -18    20       1.7110670694E-005
#    -18    21       2.9575889730E-004
#    -17   -17       2.5750514170E-004
#    -17   -16       1.7418979711E-004
#    -17   -15       3.7643129277E-006
#    -17   -14       2.5685811046E-004
#    -17   -13       4.6095168307E-004
#    -17   -12       2.8700168656E-004
#    -17   -11       5.2377525969E-006
#    -17   -10       1.7617401537E-004
#    -17    -9       1.5201454984E-004
#    -17    -8       5.6313838409E-005
#    -17    -7       5.6648557505E-006
#    -17    -6       7.2568789353E-005
#    -17    -5       2.0836278530E-004
#    -17    -4       5.8539556028E-005
#    -17    -3       1.4141814712E-005
#    -17    -2       2.3180272983E-004
#    -17    -1       6.2447652839E-004
#    -17     0       3.0197307462E-004
#    -17     1       1.1679495428E-005
#    -17     2       1.5333020621E-004
#    -17     3       1.5409369078E-004
#    -17     4       1.7865515489E-004
#    -17     5       3.7026687721E-006
#    -17     6       3.8730440308E-004
#    -17     7       1.0190185952E-003
#    -17     8       5.9656876338E-004
#    -17     9       1.3311829642E-005
#    -17    10       3.2800242130E-004
#    -17    11       1.0451499882E-003
#    -17    12       4.3756338376E-004
#    -17    13       7.4030452181E-006
#    -17    14       3.4935481691E-004
#    -17    15       2.9823948824E-004
#    -17    16       6.6177132299E-005
#    -17    17       9.3939463622E-006
#    -17    18       3.5334729245E-005
#    -17    19       2.4464659369E-004
#    -17    20       1.9265684511E-004
#    -16   -18       4.4642548203E-007
#    -16   -17       8.5208170454E-005
#    -16   -16       3.4461749529E-004
#    -16   -15       1.7529009933E-004
#    -16   -14       2.7013807631E-006
#    -16   -13       2.0677683317E-004
#    -16   -12       7.1406100671E-004
#    -16   -11       1.8866074923E-004
#    -16   -10       9.0141261148E-006
#    -16    -9       4.5874053547E-005
#    -16    -8       6.7035271880E-004
#    -16    -7       2.3864346106E-005
#    -16    -6       9.4683876171E-006
#    -16    -5       1.8519911873E-004
#    -16    -4       3.2693807094E-003
#    -16    -3       7.6483033149E-005
#    -16    -2       1.6235214454E-005
#    -16    -1       3.5255181423E-004
#    -16     0       1.2359038852E-002
#    -16     1       1.6415761590E-005
