 Diffraction intensities for potential:3x3_wideDefect10001.in                  
#      3   -12       1.1383644030E-003
#      3   -11       6.1935510245E-004
#      3   -10       1.6103791330E-003
#      3    -9       1.2531596880E-002
#      3    -8       5.6826485121E-004
#      3    -7       2.8985013122E-003
#      3    -6       4.2998056636E-002
#      3    -5       6.0696303719E-004
#      3    -4       3.3256147761E-003
#      3    -3       1.2735955824E-002
#      3    -2       3.7227864913E-003
#      3    -1       2.6337644123E-003
#      3     0       5.0493755578E-002
#      3     1       5.5200552856E-003
#      3     2       3.5116426484E-004
#      4   -14       1.0560472138E-004
#      4   -13       5.7053238330E-004
#      4   -12       5.4223664903E-004
#      4   -11       3.7404238141E-004
#      4   -10       1.8013879298E-003
#      4    -9       3.4530042328E-003
#      4    -8       9.3987729347E-005
#      4    -7       2.8385990659E-003
#      4    -6       5.6133142596E-003
#      4    -5       2.4618088973E-004
#      4    -4       8.8064096930E-004
#      4    -3       2.2076585998E-003
#      4    -2       3.9370173717E-003
#      4    -1       5.5198689344E-003
#      4     0       9.8511452217E-003
#      5   -13       6.1677492226E-004
#      5   -12       1.5612147104E-003
#      5   -11       2.0023446202E-003
#      5   -10       3.5062865323E-003
#      5    -9       4.6977438846E-003
#      5    -8       2.1798184685E-003
#      5    -7       3.1491047219E-003
#      5    -6       5.4713748358E-004
#      5    -5       1.4157712817E-003
#      5    -4       2.3130102343E-003
#      5    -3       6.1462582174E-003
#      5    -2       3.5115099096E-004
#      6   -11       1.3995323932E-003
#      6   -10       1.9086283835E-003
#      6    -9       1.5487606438E-002
#      6    -8       2.4380611208E-003
#      6    -7       3.3124346157E-003
#      6    -6       1.0853812639E-002
#      6    -5       4.5576554411E-003
