 Diffraction intensities for potential:restest_32_2510001.in                   
#    -31    25       5.8954245906E-005
#    -31    26       2.4816786789E-005
#    -31    27       1.7147016712E-005
#    -31    28       3.2830730168E-005
#    -30   -15       1.6696866036E-005
#    -30   -14       1.9064706463E-005
#    -30   -13       1.3598063352E-005
#    -30   -12       1.6766953873E-005
#    -30   -11       2.1837293839E-005
#    -30   -10       6.0574528798E-005
#    -30    -9       2.9666632789E-005
#    -30    -8       2.2147652199E-005
#    -30    -7       2.2896923560E-005
#    -30    -6       2.0322008832E-005
#    -30    -5       1.2291976220E-005
#    -30    -4       3.4075300243E-005
#    -30    -3       4.1247298480E-005
#    -30    -2       2.9830922295E-005
#    -30    -1       3.0170487599E-005
#    -30     0       5.6552656616E-004
#    -30     1       2.3520494919E-005
#    -30     2       2.4873615468E-005
#    -30     3       1.2768982925E-005
#    -30     4       5.3909771784E-006
#    -30     5       8.5060212068E-004
#    -30     6       9.6668016886E-006
#    -30     7       1.0428582109E-005
#    -30     8       7.3479766737E-006
#    -30     9       3.2685346837E-006
#    -30    10       8.7100126232E-004
#    -30    11       9.5855418350E-007
#    -30    12       8.7202091263E-007
#    -30    13       3.1561731054E-006
#    -30    14       8.5501564143E-007
#    -30    15       6.8431062873E-004
#    -30    16       9.0669815690E-006
#    -30    17       3.9235976169E-006
#    -30    18       5.2177871409E-006
#    -30    19       1.3090683538E-006
#    -30    20       2.7406906208E-005
#    -30    21       4.3390663945E-005
#    -30    22       3.3769632820E-005
#    -30    23       1.1317567789E-004
#    -30    24       6.7662200757E-005
#    -30    25       2.9859181886E-005
#    -30    26       3.8958928562E-005
#    -30    27       2.8950355551E-005
#    -30    28       8.9831792138E-006
#    -29   -16       2.3126719557E-005
#    -29   -15       1.2634293876E-005
#    -29   -14       3.2957496889E-005
#    -29   -13       2.6807895881E-005
#    -29   -12       3.9424409086E-005
#    -29   -11       2.6312529249E-005
#    -29   -10       2.4734569506E-005
#    -29    -9       3.2452893116E-005
#    -29    -8       2.3354162915E-005
#    -29    -7       3.1627820323E-005
#    -29    -6       2.2690661372E-005
#    -29    -5       2.2215942090E-005
#    -29    -4       2.6079004117E-005
#    -29    -3       2.2026654609E-005
#    -29    -2       2.5566006161E-005
#    -29    -1       2.3522004180E-005
#    -29     0       2.5030136241E-005
#    -29     1       2.3487239989E-005
#    -29     2       1.9948581627E-005
#    -29     3       1.5904297919E-005
#    -29     4       1.3113630865E-005
#    -29     5       1.1713938096E-005
#    -29     6       1.3897845158E-005
#    -29     7       1.0196772980E-005
#    -29     8       2.9991984840E-006
#    -29     9       2.1445274267E-006
#    -29    10       4.1688150558E-006
#    -29    11       8.9526146439E-006
#    -29    12       1.1120658971E-005
#    -29    13       9.8599276557E-006
#    -29    14       1.8941200628E-005
#    -29    15       6.3563802539E-006
#    -29    16       8.4081453729E-006
#    -29    17       4.4438783818E-006
#    -29    18       3.0966279487E-006
#    -29    19       3.2715540523E-007
#    -29    20       2.4005652220E-005
#    -29    21       4.1705030683E-005
#    -29    22       3.3237075777E-005
#    -29    23       6.5023952747E-005
#    -29    24       1.0197134340E-004
#    -29    25       2.7677581693E-005
#    -29    26       3.6920894646E-005
#    -29    27       4.9429553106E-005
#    -28   -16       2.2682563315E-005
#    -28   -15       1.5724577771E-005
#    -28   -14       2.1813161554E-005
#    -28   -13       2.4120479090E-005
#    -28   -12       3.8595392211E-005
#    -28   -11       3.8847441742E-005
#    -28   -10       3.0176045582E-005
#    -28    -9       2.5970799000E-005
#    -28    -8       2.1656063199E-005
#    -28    -7       2.8067867609E-005
#    -28    -6       2.1213687460E-005
#    -28    -5       1.9250047333E-005
#    -28    -4       1.6585707654E-005
#    -28    -3       1.5641464267E-005
#    -28    -2       2.4879477170E-005
#    -28    -1       2.3488450017E-005
#    -28     0       2.7376183862E-005
#    -28     1       2.5935066844E-005
#    -28     2       2.3955001304E-005
#    -28     3       1.5701891894E-005
#    -28     4       1.6557148729E-005
#    -28     5       1.6107242459E-005
#    -28     6       1.5123049159E-005
#    -28     7       1.2251234472E-005
#    -28     8       4.1184751495E-006
#    -28     9       8.6484139189E-006
#    -28    10       1.8704313786E-005
#    -28    11       2.7202640652E-005
#    -28    12       3.1355665593E-005
#    -28    13       2.2171518760E-005
#    -28    14       2.2870575234E-005
#    -28    15       1.4078258145E-005
#    -28    16       1.8896769469E-005
#    -28    17       1.2739501040E-005
#    -28    18       2.1097909922E-005
#    -28    19       2.0248490986E-005
#    -28    20       4.9226262088E-005
#    -28    21       3.2497002463E-005
#    -28    22       6.4181750840E-005
#    -28    23       6.0609155537E-005
#    -28    24       5.3653572359E-005
#    -28    25       5.0604614505E-005
#    -28    26       4.3660093202E-005
#    -28    27       3.1948579053E-005
#    -27   -17       1.3955637209E-005
#    -27   -16       1.8457782773E-005
#    -27   -15       2.2941175493E-005
#    -27   -14       2.7899109226E-005
#    -27   -13       4.3426947053E-005
#    -27   -12       4.6848883529E-005
#    -27   -11       3.6951844288E-005
#    -27   -10       2.9385137549E-005
#    -27    -9       2.5233703308E-005
#    -27    -8       2.4076841029E-005
#    -27    -7       1.9034690213E-005
#    -27    -6       1.2308354050E-005
#    -27    -5       9.6472014927E-006
#    -27    -4       9.5651772130E-006
#    -27    -3       1.2775735137E-005
#    -27    -2       1.9949070240E-005
#    -27    -1       2.5932951418E-005
#    -27     0       2.6477224469E-005
#    -27     1       2.1904917473E-005
#    -27     2       1.4467417114E-005
#    -27     3       1.3690483602E-005
#    -27     4       1.3545716249E-005
#    -27     5       1.7383783461E-005
#    -27     6       1.7423847795E-005
#    -27     7       1.4032904125E-005
#    -27     8       1.6775542365E-005
#    -27     9       2.1422204497E-005
#    -27    10       3.4577435267E-005
#    -27    11       4.5035747916E-005
#    -27    12       5.5923764558E-005
#    -27    13       4.6725732811E-005
#    -27    14       4.2182573213E-005
#    -27    15       2.7037984308E-005
#    -27    16       2.3247718504E-005
#    -27    17       1.5772618442E-005
#    -27    18       1.5631544829E-005
#    -27    19       1.2167655186E-005
#    -27    20       2.5140516560E-005
#    -27    21       4.4559161541E-005
#    -27    22       5.7901869683E-005
#    -27    23       7.4210228713E-005
#    -27    24       5.4167072891E-005
#    -27    25       4.7604266434E-005
#    -27    26       2.5871372804E-005
#    -27    27       4.2480566451E-005
#    -26   -18       8.0779943663E-006
#    -26   -17       1.5892695248E-005
#    -26   -16       2.4175672332E-005
#    -26   -15       2.9585067949E-005
#    -26   -14       6.3564916939E-005
#    -26   -13       2.9240630209E-005
#    -26   -12       3.9718298105E-005
#    -26   -11       3.3554786734E-005
#    -26   -10       2.4595612061E-005
#    -26    -9       2.0114614648E-005
#    -26    -8       1.1628904139E-005
#    -26    -7       1.0370458925E-005
#    -26    -6       5.8131704409E-006
#    -26    -5       5.3186881666E-006
#    -26    -4       5.3980808337E-006
#    -26    -3       1.5905154354E-005
#    -26    -2       2.3948959358E-005
#    -26    -1       2.1899084259E-005
#    -26     0       1.7042031930E-005
#    -26     1       9.1654703664E-006
#    -26     2       7.6706782781E-006
#    -26     3       6.3718270306E-006
#    -26     4       1.1096737940E-005
#    -26     5       1.4618891252E-005
#    -26     6       1.4362514945E-005
#    -26     7       1.5014447130E-005
#    -26     8       1.5805914863E-005
#    -26     9       2.5881925208E-005
#    -26    10       2.8413936003E-005
#    -26    11       3.8140064151E-005
#    -26    12       4.6316953703E-005
#    -26    13       3.9279250109E-005
#    -26    14       2.2086842191E-005
#    -26    15       2.7227385038E-005
#    -26    16       1.8714855331E-005
#    -26    17       1.0522095897E-005
#    -26    18       1.9391237544E-005
#    -26    19       6.7322785104E-005
#    -26    20       3.2847754725E-005
#    -26    21       2.5593961042E-005
#    -26    22       4.4898114359E-005
#    -26    23       3.8505979037E-005
#    -26    24       4.6178891077E-005
#    -26    25       2.3534436495E-005
#    -26    26       8.8775431348E-005
#    -26    27       6.6230544323E-005
#    -25   -19       1.1015018220E-005
#    -25   -18       5.5726812743E-005
#    -25   -17       1.5543834625E-005
#    -25   -16       3.2532592973E-005
#    -25   -15       3.2200436157E-005
#    -25   -14       4.9177743772E-005
#    -25   -13       4.8207085783E-005
#    -25   -12       3.3524708886E-005
#    -25   -11       2.6802178920E-005
#    -25   -10       2.0253164114E-004
#    -25    -9       1.6398120964E-005
#    -25    -8       6.7979052992E-006
#    -25    -7       4.5538087120E-006
#    -25    -6       5.2548999645E-006
#    -25    -5       8.5080312682E-004
#    -25    -4       1.3111885189E-005
#    -25    -3       1.5691715220E-005
#    -25    -2       1.4455300113E-005
#    -25    -1       9.1583374511E-006
#    -25     0       2.5369821324E-003
#    -25     1       2.5355628115E-007
#    -25     2       1.3032427030E-006
#    -25     3       3.4138641196E-006
#    -25     4       7.2276413201E-006
#    -25     5       4.6613350575E-003
#    -25     6       9.2818388044E-006
#    -25     7       4.6992291069E-006
#    -25     8       7.3581001389E-006
#    -25     9       5.7222932979E-006
#    -25    10       4.8166764682E-003
#    -25    11       1.8016857168E-005
#    -25    12       3.0487431189E-005
#    -25    13       3.4511878877E-005
#    -25    14       2.4395035521E-005
#    -25    15       2.3198042180E-003
#    -25    16       1.4948542040E-005
#    -25    17       1.3264645316E-005
#    -25    18       1.3200868518E-005
#    -25    19       3.1551546911E-005
#    -25    20       7.6846622575E-004
#    -25    21       4.2612038981E-005
#    -25    22       4.5348245809E-005
#    -25    23       6.4094876683E-005
#    -25    24       1.5792779378E-005
#    -25    25       1.6167677912E-004
#    -25    26       8.5178634108E-005
#    -25    27       3.0958782375E-005
#    -24   -20       5.7280332151E-006
#    -24   -19       3.0750631981E-005
#    -24   -18       1.9882097323E-005
#    -24   -17       3.0895517172E-005
#    -24   -16       6.1450501924E-005
#    -24   -15       5.4782762907E-005
#    -24   -14       6.0994096599E-005
#    -24   -13       4.0883387686E-005
#    -24   -12       2.6117850132E-005
#    -24   -11       2.6056015346E-005
#    -24   -10       1.7835448372E-005
#    -24    -9       1.3399585258E-005
#    -24    -8       8.3644153929E-006
#    -24    -7       6.2849553866E-006
#    -24    -6       9.6715924554E-006
#    -24    -5       1.1712246870E-005
#    -24    -4       1.6547003411E-005
#    -24    -3       1.3673244569E-005
#    -24    -2       7.6597752914E-006
#    -24    -1       2.5193821090E-007
#    -24     0       3.3673155573E-006
#    -24     1       1.0319341815E-005
#    -24     2       1.5179311608E-005
#    -24     3       1.6499764043E-005
#    -24     4       9.0164115688E-006
#    -24     5       3.3052253914E-006
#    -24     6       2.6330924745E-007
#    -24     7       4.7424558741E-007
#    -24     8       1.2122302435E-006
#    -24     9       1.3680941171E-006
#    -24    10       6.7321440093E-006
#    -24    11       1.6699935917E-005
#    -24    12       4.1734189155E-005
#    -24    13       4.1163024099E-005
#    -24    14       3.2593448665E-005
#    -24    15       2.8781510254E-005
#    -24    16       3.3677038659E-005
#    -24    17       1.1188033055E-005
#    -24    18       2.3425228947E-005
#    -24    19       2.6168236182E-005
#    -24    20       6.4687636491E-005
#    -24    21       7.2117899836E-005
#    -24    22       8.7916147191E-005
#    -24    23       5.1748874082E-005
#    -24    24       1.4929092738E-004
#    -24    25       7.7934047970E-005
#    -24    26       3.7631208037E-005
#    -23   -20       1.3928902490E-005
#    -23   -19       2.7092051797E-005
#    -23   -18       3.8416447773E-005
#    -23   -17       5.0500736084E-005
#    -23   -16       6.4499897085E-005
#    -23   -15       5.5986760850E-005
#    -23   -14       3.9541843084E-005
#    -23   -13       3.0442645953E-005
#    -23   -12       3.1725810111E-005
#    -23   -11       2.2327834433E-005
#    -23   -10       1.6033701383E-005
#    -23    -9       8.6729218873E-006
#    -23    -8       6.2890617475E-006
#    -23    -7       1.0427504238E-005
#    -23    -6       1.3896335896E-005
#    -23    -5       1.6100265156E-005
#    -23    -4       1.3535996482E-005
#    -23    -3       6.3663628773E-006
#    -23    -2       1.3086886038E-006
#    -23    -1       1.0331745034E-005
#    -23     0       2.9814160802E-005
#    -23     1       4.8501104617E-005
#    -23     2       4.3519419592E-005
#    -23     3       3.3202330367E-005
#    -23     4       1.1625946774E-005
#    -23     5       4.0196792524E-006
#    -23     6       9.8806130646E-006
#    -23     7       1.8113705655E-005
#    -23     8       2.6744189852E-005
#    -23     9       2.1511033184E-005
#    -23    10       2.9071916858E-005
