Diffraction intensities for potential:_5x5_05D10003.in                        
#    -30    15       7.8931304775E-004
#    -30    16       1.8784660613E-005
#    -30    17       1.3769748407E-005
#    -30    18       1.4107964462E-005
#    -30    19       7.9735476573E-006
#    -30    20       3.0398133058E-004
#    -30    21       1.3476866926E-004
#    -30    22       2.0266344366E-004
#    -30    23       4.0789298393E-004
#    -30    24       1.7955876645E-004
#    -30    25       1.4404017232E-003
#    -30    26       5.2745577957E-005
#    -30    27       2.3241573710E-004
#    -30    28       9.4259338335E-005
#    -29   -16       2.0913610883E-005
#    -29   -15       3.2678576107E-006
#    -29   -14       2.4259220622E-005
#    -29   -13       3.0602628179E-004
#    -29   -12       2.2844739532E-005
#    -29   -11       4.7925690139E-005
#    -29   -10       1.1558426916E-005
#    -29    -9       4.9387727322E-006
#    -29    -8       3.0578936892E-004
#    -29    -7       1.5815573100E-005
#    -29    -6       2.6882031558E-005
#    -29    -5       4.4641029557E-005
#    -29    -4       1.2767218480E-005
#    -29    -3       2.1547505431E-004
#    -29    -2       6.6045571506E-006
#    -29    -1       9.0131819436E-006
#    -29     0       1.0106914401E-004
#    -29     1       2.0409813502E-005
#    -29     2       1.5380793793E-004
#    -29     3       1.4546758875E-005
#    -29     4       2.4213284994E-005
#    -29     5       1.9160767198E-005
#    -29     6       4.2859308072E-006
#    -29     7       1.3153687637E-004
#    -29     8       1.0806711008E-005
#    -29     9       2.0015370189E-005
#    -29    10       5.7418199319E-005
#    -29    11       1.0717417398E-005
#    -29    12       1.2243360563E-004
#    -29    13       2.3193207901E-005
#    -29    14       1.4582948298E-004
#    -29    15       6.7319745973E-006
#    -29    16       6.7799571983E-005
#    -29    17       3.6123716950E-005
#    -29    18       1.5528455860E-005
#    -29    19       3.8507165563E-006
#    -29    20       7.2495554286E-005
#    -29    21       2.0445098211E-004
#    -29    22       6.4988968427E-004
#    -29    23       4.8533030690E-005
#    -29    24       1.3254184030E-004
#    -29    25       1.8237393183E-005
#    -29    26       2.3253356453E-005
#    -29    27       5.4616482534E-004
#    -28   -16       2.4367539112E-005
#    -28   -15       5.4024939669E-006
#    -28   -14       4.8431351944E-004
#    -28   -13       6.6882450740E-004
#    -28   -12       6.6746455736E-005
#    -28   -11       6.0330593588E-005
#    -28   -10       2.4893395486E-005
#    -28    -9       4.4392488609E-004
#    -28    -8       3.5972185923E-004
#    -28    -7       4.9093805206E-005
#    -28    -6       2.6248019859E-005
#    -28    -5       3.7012123383E-005
#    -28    -4       2.1346512143E-004
#    -28    -3       1.5089575379E-004
#    -28    -2       1.8020942063E-005
#    -28    -1       2.1239364687E-006
#    -28     0       2.2419893077E-005
#    -28     1       1.7619271675E-004
#    -28     2       3.4818758959E-004
#    -28     3       4.5510419932E-006
#    -28     4       1.1448837088E-005
#    -28     5       2.8748457260E-005
#    -28     6       2.6776773584E-004
#    -28     7       1.9695746127E-004
#    -28     8       2.2188722502E-005
#    -28     9       2.8541246078E-005
#    -28    10       4.3264048682E-006
#    -28    11       7.7955922907E-004
#    -28    12       5.9004588294E-004
#    -28    13       1.9743731995E-004
#    -28    14       1.2108552834E-004
#    -28    15       2.2615408602E-005
#    -28    16       3.4328372804E-004
#    -28    17       8.2835147341E-005
#    -28    18       5.9997661415E-005
#    -28    19       1.2763282901E-005
#    -28    20       1.7805402026E-005
#    -28    21       4.1756067333E-004
#    -28    22       7.0805969633E-004
#    -28    23       2.7244959426E-005
#    -28    24       6.0025186070E-005
#    -28    25       3.1861806413E-005
#    -28    26       5.9192215211E-004
#    -28    27       4.6070298383E-004
#    -27   -17       2.4289738729E-004
#    -27   -16       2.8547811206E-004
#    -27   -15       2.3522514471E-005
#    -27   -14       2.9952409743E-005
#    -27   -13       4.0625180447E-005
#    -27   -12       6.7610267035E-004
#    -27   -11       7.3399276303E-004
#    -27   -10       4.5359290965E-005
#    -27    -9       5.2116308865E-005
#    -27    -8       4.0502298333E-005
#    -27    -7       3.3260702668E-004
#    -27    -6       2.1165358363E-004
#    -27    -5       1.1197328966E-005
#    -27    -4       4.6665322990E-005
#    -27    -3       4.0149405798E-005
#    -27    -2       2.3502611123E-004
#    -27    -1       1.7430319357E-004
#    -27     0       4.2948877753E-006
#    -27     1       6.0707631402E-005
#    -27     2       3.8232471005E-005
#    -27     3       1.8527284699E-004
#    -27     4       2.6292641471E-004
#    -27     5       6.5595833093E-005
#    -27     6       1.7928308438E-005
#    -27     7       2.2391769597E-005
#    -27     8       2.3528297570E-004
#    -27     9       2.0243974049E-004
#    -27    10       7.3529600401E-005
#    -27    11       1.3024373775E-004
#    -27    12       9.0075044070E-005
#    -27    13       9.4897527368E-004
#    -27    14       6.9774215103E-004
#    -27    15       3.0480257779E-005
#    -27    16       1.0620166472E-006
#    -27    17       5.8097351918E-007
#    -27    18       3.1406166187E-004
#    -27    19       1.8287570755E-004
#    -27    20       9.5292738356E-005
#    -27    21       2.5995848625E-005
#    -27    22       2.9893839554E-005
#    -27    23       7.2878247827E-004
#    -27    24       5.3056957657E-004
#    -27    25       6.0726080156E-005
#    -27    26       2.8651833120E-005
#    -27    27       3.4926752688E-005
#    -26   -18       1.2572594595E-005
#    -26   -17       2.0138131681E-004
#    -26   -16       2.2214558538E-005
#    -26   -15       3.5146438469E-005
#    -26   -14       5.1218760593E-005
#    -26   -13       2.1695071563E-005
#    -26   -12       5.0106955245E-004
#    -26   -11       7.7092921637E-006
#    -26   -10       2.1182945173E-005
#    -26    -9       4.4214199907E-005
#    -26    -8       3.7692360289E-005
#    -26    -7       1.9829457688E-004
#    -26    -6       2.6369182597E-006
#    -26    -5       3.6632206726E-006
#    -26    -4       3.2438866526E-005
#    -26    -3       1.2873151584E-005
#    -26    -2       2.2174514264E-004
#    -26    -1       4.3460116925E-005
#    -26     0       6.7067788597E-005
#    -26     1       4.2091375713E-006
#    -26     2       6.9224637294E-006
#    -26     3       1.5509112145E-005
#    -26     4       1.1682316208E-005
#    -26     5       1.6539333014E-005
#    -26     6       5.5707000789E-005
#    -26     7       5.7690080108E-006
#    -26     8       9.9602156651E-005
#    -26     9       3.0026821675E-005
#    -26    10       2.9668456727E-006
#    -26    11       3.4533989430E-005
#    -26    12       2.7096318997E-004
#    -26    13       6.9485999711E-004
#    -26    14       1.3293664743E-006
#    -26    15       1.0838265937E-004
