 Diffraction intensities for potential:6x6MoS2_ikbt_4_mu_half10001.in          
#    -40    -3       1.2541283432E-006
#    -40    -2       2.2959256914E-006
#    -40    -1       3.1277052789E-006
#    -40     0       3.1956250530E-006
#    -40     1       1.9763934826E-006
#    -40     2       1.1669499827E-006
#    -40     3       1.6256511037E-006
#    -40     4       5.2364850259E-006
#    -40     5       1.0504734564E-005
#    -40     6       1.2837462127E-005
#    -40     7       1.1529780389E-005
#    -40     8       8.7507148055E-006
#    -40     9       5.5742313746E-006
#    -40    10       4.7265324576E-006
#    -40    11       7.3667965680E-006
#    -40    12       8.9606164155E-006
#    -40    13       8.0870372042E-006
#    -40    14       6.3878444759E-006
#    -40    15       4.1045569785E-006
#    -40    16       2.5858703714E-006
#    -40    17       2.7713298331E-006
#    -40    18       3.0408463344E-006
#    -40    19       2.6356748959E-006
#    -40    20       2.6727822692E-006
#    -40    21       2.5253487586E-006
#    -40    22       1.8925976837E-006
#    -40    23       9.3177263439E-007
#    -40    24       2.3864456800E-007
#    -40    25       8.5749724251E-008
#    -40    26       1.8454126890E-007
#    -40    27       2.6892695694E-007
#    -40    28       1.6143329882E-007
#    -40    29       2.7505453694E-007
#    -40    30       9.3660809668E-008
#    -40    31       1.2974742072E-007
#    -40    32       9.5359758665E-008
#    -40    33       2.1847878779E-008
#    -39   -15       3.0297891276E-008
#    -39   -14       3.2423195232E-008
#    -39   -13       1.0661388644E-007
#    -39   -12       2.5278712281E-007
#    -39   -11       2.8293775063E-007
#    -39   -10       3.3152606267E-007
#    -39    -9       3.4845352218E-007
#    -39    -8       2.1918763312E-007
#    -39    -7       1.3374137124E-007
#    -39    -6       3.3463596614E-007
#    -39    -5       7.5622361880E-007
#    -39    -4       1.2503845845E-006
#    -39    -3       1.5576685713E-006
#    -39    -2       1.9308841229E-006
#    -39    -1       1.9753686241E-006
#    -39     0       1.4710823391E-006
#    -39     1       6.5952586049E-007
#    -39     2       3.7965309019E-007
#    -39     3       1.6927700961E-006
#    -39     4       6.3054341449E-006
#    -39     5       1.1839186402E-005
#    -39     6       1.3979392561E-005
#    -39     7       1.3156406064E-005
#    -39     8       1.1122419762E-005
#    -39     9       8.3789365953E-006
#    -39    10       8.8849989942E-006
#    -39    11       1.2801446252E-005
#    -39    12       1.4942445768E-005
#    -39    13       1.4196058039E-005
#    -39    14       1.2558236539E-005
#    -39    15       9.6702690773E-006
#    -39    16       8.0884440859E-006
#    -39    17       7.9012169210E-006
#    -39    18       7.2653847240E-006
#    -39    19       6.6530271291E-006
#    -39    20       6.0173576446E-006
#    -39    21       5.1131797047E-006
#    -39    22       2.8288005312E-006
#    -39    23       1.1731647081E-006
#    -39    24       6.0878517232E-007
#    -39    25       7.3986913648E-007
#    -39    26       7.9885871189E-007
#    -39    27       4.2424769206E-007
#    -39    28       4.3969832474E-007
#    -39    29       2.2582131501E-007
#    -39    30       2.3512759317E-007
#    -39    31       4.9758390679E-007
#    -39    32       2.1949218227E-007
#    -39    33       4.8619964604E-007
#    -38   -16       3.1773984493E-008
#    -38   -15       4.9882541567E-008
#    -38   -14       1.1073843539E-007
#    -38   -13       2.7043545290E-007
#    -38   -12       3.8780122546E-007
#    -38   -11       5.1112089577E-007
#    -38   -10       4.4022597111E-007
#    -38    -9       2.8383161359E-007
#    -38    -8       2.2362182945E-007
#    -38    -7       5.2342033592E-007
#    -38    -6       1.2990248421E-006
#    -38    -5       2.4184774433E-006
#    -38    -4       2.6460498321E-006
#    -38    -3       1.6621757662E-006
#    -38    -2       1.1657165963E-006
#    -38    -1       6.5901321150E-007
#    -38     0       1.6623502417E-007
#    -38     1       2.1692220372E-007
#    -38     2       2.0188514471E-008
#    -38     3       1.9852806663E-006
#    -38     4       8.0358845428E-006
#    -38     5       1.2646604117E-005
#    -38     6       1.3658871955E-005
#    -38     7       1.3722213037E-005
#    -38     8       1.1645441654E-005
#    -38     9       1.0407594701E-005
#    -38    10       1.5060691056E-005
#    -38    11       2.0627105584E-005
#    -38    12       2.2687163934E-005
#    -38    13       2.3378369124E-005
#    -38    14       2.0319469476E-005
#    -38    15       1.6333179819E-005
#    -38    16       1.5713053937E-005
#    -38    17       1.5612017816E-005
#    -38    18       1.4554988424E-005
#    -38    19       1.3751420108E-005
#    -38    20       1.1680819042E-005
#    -38    21       7.5381882372E-006
#    -38    22       3.8802652022E-006
#    -38    23       1.8387981545E-006
#    -38    24       1.7289202315E-006
#    -38    25       2.0501381093E-006
#    -38    26       1.1426394248E-006
#    -38    27       7.3822467217E-007
#    -38    28       1.8096033535E-007
#    -38    29       2.9688319760E-007
#    -38    30       7.4922146392E-007
#    -38    31       6.2073998655E-007
#    -38    32       9.8506659061E-007
#    -38    33       5.0962087575E-007
#    -37   -17       2.0998788780E-009
#    -37   -16       3.9522548300E-008
#    -37   -15       1.1270787177E-007
#    -37   -14       2.5413711934E-007
#    -37   -13       4.5039039533E-007
#    -37   -12       6.4418632633E-007
#    -37   -11       7.4797575533E-007
#    -37   -10       5.7251645323E-007
#    -37    -9       2.7719306569E-007
#    -37    -8       5.0718062554E-007
#    -37    -7       1.7836933235E-006
#    -37    -6       3.9686158819E-006
#    -37    -5       5.5931232759E-006
#    -37    -4       4.0940274010E-006
#    -37    -3       1.6250106900E-006
#    -37    -2       3.7884367331E-007
#    -37    -1       2.1685385057E-007
#    -37     0       2.6366151727E-006
#    -37     1       3.1183588301E-006
#    -37     2       4.7358085689E-007
#    -37     3       2.2853065108E-006
#    -37     4       8.2121023195E-006
#    -37     5       1.2213838178E-005
#    -37     6       1.6532582329E-005
#    -37     7       1.7572775841E-005
#    -37     8       1.1100605840E-005
#    -37     9       1.1248640214E-005
#    -37    10       1.9134348280E-005
#    -37    11       2.7764991142E-005
#    -37    12       3.6565979126E-005
#    -37    13       3.7035973346E-005
#    -37    14       2.7184600608E-005
#    -37    15       2.1600695028E-005
#    -37    16       2.0741481678E-005
#    -37    17       2.3799335902E-005
#    -37    18       2.8566351474E-005
#    -37    19       2.7494340494E-005
#    -37    20       1.5470078732E-005
#    -37    21       8.7189383262E-006
#    -37    22       3.2250229616E-006
#    -37    23       2.9502481567E-006
#    -37    24       4.5624095340E-006
#    -37    25       4.0179033295E-006
#    -37    26       1.9928508268E-006
#    -37    27       3.0466198408E-007
#    -37    28       7.4835309844E-007
#    -37    29       1.4686504590E-006
#    -37    30       1.8137919855E-006
#    -37    31       2.8203446674E-007
#    -37    32       5.3509019450E-007
#    -37    33       1.6159324224E-007
#    -36   -18       1.9856065484E-008
#    -36   -17       7.1768499052E-009
#    -36   -16       8.4019547464E-008
#    -36   -15       1.6745142251E-007
#    -36   -14       4.6513145260E-007
#    -36   -13       6.9115152011E-007
#    -36   -12       9.9485761238E-007
#    -36   -11       8.2222649489E-007
#    -36   -10       4.9721523105E-007
#    -36    -9       3.4554606440E-007
#    -36    -8       1.4378191739E-006
#    -36    -7       4.6146973172E-006
#    -36    -6       3.4912492274E-005
#    -36    -5       8.7044749691E-006
#    -36    -4       5.2384979843E-006
#    -36    -3       1.6926406558E-006
#    -36    -2       2.0325588501E-008
#    -36    -1       3.1198322481E-006
#    -36     0       2.1646254671E-004
#    -36     1       7.4378060649E-006
#    -36     2       1.6668937467E-006
#    -36     3       2.6005328439E-006
#    -36     4       5.8208632488E-006
#    -36     5       1.4720236956E-005
#    -36     6       4.8963060659E-004
#    -36     7       2.1096967402E-005
