 Diffraction intensities for potential:4x4MoS210001.in                         
#    -21    -4       1.5161878176E-005
#    -21    -3       2.5570106675E-005
#    -21    -2       4.2332435954E-005
#    -21    -1       7.3006145454E-005
#    -21     0       8.3367349359E-005
#    -21     1       5.6139718560E-005
#    -21     2       1.3913867066E-005
#    -21     3       9.7699862612E-006
#    -21     4       3.0268401056E-005
#    -21     5       6.1046125401E-005
#    -21     6       8.0884272242E-005
#    -21     7       9.4524980146E-005
#    -21     8       7.0059065723E-005
#    -21     9       7.5970457250E-005
#    -21    10       6.8234975425E-005
#    -21    11       6.4162784196E-005
#    -21    12       4.5117685237E-005
#    -21    13       4.2615463674E-005
#    -21    14       2.1408097590E-005
#    -21    15       4.4631552201E-005
#    -21    16       5.1500959799E-005
#    -21    17       5.0223861555E-005
#    -21    18       1.2697751013E-004
#    -21    19       9.9307679071E-005
#    -21    20       1.5055703817E-004
#    -21    21       1.5754374657E-004
#    -21    22       7.0704155623E-005
#    -20   -15       3.1284883330E-005
#    -20   -14       6.0885423826E-005
#    -20   -13       6.7050725155E-005
#    -20   -12       7.6439125952E-005
#    -20   -11       1.2943881985E-004
#    -20   -10       1.2263442153E-004
#    -20    -9       7.1939626482E-005
#    -20    -8       1.7338603512E-004
#    -20    -7       8.2282955179E-006
#    -20    -6       3.1245768067E-006
#    -20    -5       6.4226884231E-006
#    -20    -4       7.8396644774E-004
#    -20    -3       2.2992780238E-005
#    -20    -2       3.8915886586E-005
#    -20    -1       5.5947742148E-005
#    -20     0       2.4549116567E-003
#    -20     1       3.8221643550E-006
#    -20     2       4.7778293603E-006
#    -20     3       2.5639621872E-005
#    -20     4       3.9976274500E-003
#    -20     5       4.5893904260E-005
#    -20     6       5.8232647791E-005
#    -20     7       4.0919769151E-005
#    -20     8       5.2248421767E-003
#    -20     9       1.9410711705E-005
#    -20    10       1.9154971727E-005
#    -20    11       3.6464275762E-005
#    -20    12       2.4134164491E-003
#    -20    13       3.8440364405E-005
#    -20    14       5.9088557488E-005
#    -20    15       3.0443493953E-005
#    -20    16       8.2211801374E-004
#    -20    17       6.0423791809E-005
#    -20    18       5.0963969515E-005
#    -20    19       1.9096126734E-004
#    -20    20       2.5372902193E-004
#    -20    21       6.5679263008E-005
#    -19   -16       5.4943127999E-005
#    -19   -15       7.2958684695E-005
#    -19   -14       1.0787113147E-004
#    -19   -13       1.1629982108E-004
#    -19   -12       1.6757671789E-004
#    -19   -11       1.2918894124E-004
#    -19   -10       1.1191715841E-004
#    -19    -9       4.1147610299E-005
#    -19    -8       1.3580202615E-005
#    -19    -7       2.5645228748E-006
#    -19    -6       4.4345338932E-006
#    -19    -5       9.2256354197E-006
#    -19    -4       1.9533737905E-005
#    -19    -3       1.3874166402E-005
#    -19    -2       1.3753928596E-005
#    -19    -1       3.7595161666E-006
#    -19     0       3.6079169127E-006
#    -19     1       3.0995036022E-005
#    -19     2       6.8646877944E-005
#    -19     3       5.8910570754E-005
#    -19     4       2.3085514375E-005
#    -19     5       6.7157001071E-006
#    -19     6       1.0013736763E-005
#    -19     7       3.6672929282E-005
#    -19     8       6.0073497798E-005
#    -19     9       5.4079893777E-005
#    -19    10       4.2261443887E-005
#    -19    11       3.0892464907E-005
#    -19    12       5.7752944814E-005
#    -19    13       6.4469961083E-005
#    -19    14       4.6020580327E-005
#    -19    15       6.9524278931E-005
#    -19    16       5.8151728182E-005
#    -19    17       6.3809952396E-005
#    -19    18       1.3732562447E-004
#    -19    19       2.3585054886E-004
#    -19    20       5.1466616208E-004
#    -19    21       1.5084297629E-004
#    -18   -16       3.6732299692E-005
#    -18   -15       8.9503766453E-005
#    -18   -14       1.0338102361E-004
#    -18   -13       1.1809521645E-004
#    -18   -12       1.2473550436E-004
#    -18   -11       1.2890317725E-004
#    -18   -10       6.2047073762E-005
#    -18    -9       1.8255387874E-005
#    -18    -8       4.1788994591E-006
#    -18    -7       3.8948056641E-006
#    -18    -6       6.3757137347E-006
#    -18    -5       2.0884697715E-005
#    -18    -4       2.2456086268E-005
#    -18    -3       9.8265344606E-006
#    -18    -2       4.9136286281E-006
#    -18    -1       3.1229456329E-005
#    -18     0       1.0270875320E-004
#    -18     1       1.5502025882E-004
#    -18     2       1.1258864191E-004
#    -18     3       5.4140996834E-005
#    -18     4       1.1348180099E-005
#    -18     5       1.7086731580E-005
#    -18     6       6.5015267231E-005
#    -18     7       1.3061512132E-004
#    -18     8       1.8942980872E-004
#    -18     9       1.7602552652E-004
#    -18    10       1.1851765443E-004
#    -18    11       1.2022213581E-004
#    -18    12       1.0449053343E-004
#    -18    13       1.4023093594E-004
#    -18    14       9.4849118011E-005
#    -18    15       1.1658648641E-004
#    -18    16       8.8166627325E-005
#    -18    17       7.7837662203E-005
#    -18    18       1.1677778277E-004
#    -18    19       9.4341358817E-005
#    -18    20       1.0399533984E-004
#    -18    21       2.7705624950E-004
#    -17   -17       5.7165802544E-005
#    -17   -16       1.1613989453E-004
#    -17   -15       7.2014736284E-005
#    -17   -14       9.8361455241E-005
#    -17   -13       1.3100671602E-004
#    -17   -12       1.6325220320E-004
#    -17   -11       9.6484680916E-005
#    -17   -10       4.2453227402E-005
#    -17    -9       1.8563285217E-005
#    -17    -8       8.7921650537E-006
#    -17    -7       1.9815984459E-006
#    -17    -6       2.5137026755E-005
#    -17    -5       4.0609291788E-005
#    -17    -4       3.0762870684E-005
#    -17    -3       2.6156449065E-005
#    -17    -2       6.9348287607E-005
#    -17    -1       1.5564130733E-004
#    -17     0       1.9728925785E-004
#    -17     1       1.3598902374E-004
#    -17     2       5.0297315544E-005
#    -17     3       2.7338848018E-005
#    -17     4       3.5368341608E-005
#    -17     5       6.7755504473E-005
#    -17     6       1.4752358487E-004
#    -17     7       2.3895288658E-004
