 Diffraction intensities for potential:-1x1interp10001.in                      
#     -3     0       3.2402309105E-002
#     -3     1       1.9317556325E-002
#     -3     2       1.1362823250E-002
#     -3     3       2.1576238332E-002
#     -3     4       3.0716281240E-003
#     -3     5       7.9732759914E-004
#     -2    -3       8.9377708811E-004
#     -2    -2       1.5484456340E-002
#     -2    -1       4.7271279987E-002
#     -2     0       4.3405360799E-002
#     -2     1       1.1487462574E-002
#     -2     2       4.3624210449E-002
#     -2     3       2.4258407072E-002
#     -2     4       9.4143812466E-003
#     -2     5       1.2966903142E-003
#     -1    -4       5.9550848711E-005
#     -1    -3       1.5068985387E-003
#     -1    -2       3.1271950474E-002
#     -1    -1       7.9272012818E-002
#     -1     0       4.3074679891E-003
#     -1     1       4.4562800006E-003
#     -1     2       8.4354392978E-002
#     -1     3       2.9179711397E-002
#     -1     4       7.8867023264E-003
#      0    -3       1.3710375012E-003
#      0    -2       1.4770384025E-002
#      0    -1       3.6625090495E-002
#      0     0       7.1761018487E-002
#      0     1       5.6184835333E-002
#      0     2       1.7695526445E-002
#      0     3       1.3886663192E-002
#      1    -3       2.1842078355E-002
#      1    -2       9.0117374237E-003
#      1    -1       7.2038626625E-002
#      1     0       5.4940644154E-002
#      1     1       3.0221124382E-002
#     -9     2       1.9601567392E-006
#     -9     3       1.6095211315E-005
#     -9     4       3.1299893287E-005
#     -9     5       9.5904411992E-006
#     -9     6       1.2281437258E-005
#     -8     1       3.1436611648E-006
#     -8     2       2.7396356853E-005
#     -8     3       3.3064964404E-005
#     -8     4       1.9796238145E-004
#     -8     5       4.3015588458E-005
#     -8     6       9.4262268548E-007
#     -7    -1       8.1186253778E-008
#     -7     0       6.3056506242E-006
#     -7     1       2.1692508302E-005
#     -7     2       1.4492566342E-004
#     -7     3       2.8531594199E-004
#     -7     4       6.7667505205E-005
#     -7     5       5.9359312223E-005
#     -7     6       7.3677182070E-006
#     -7     7       2.6143167297E-006
#     -6    -1       8.2860477288E-006
#     -6     0       1.6576763109E-004
#     -6     1       4.2587276126E-004
#     -6     2       7.3421750156E-004
#     -6     3       4.3878803857E-004
#     -6     4       2.1163327995E-004
#     -6     5       8.4011628427E-005
#     -6     6       3.1440709249E-005
#     -6     7       3.2858174959E-008
#     -5    -2       2.0617728283E-005
#     -5    -1       3.3041167024E-004
#     -5     0       8.9401627386E-004
#     -5     1       2.7682093375E-003
#     -5     2       2.9464951367E-003
#     -5     3       1.3137132291E-003
#     -5     4       7.4840812858E-004
#     -5     5       1.3437113841E-004
#     -5     6       1.9223579027E-005
#     -4    -3       6.4019066427E-005
#     -4    -2       4.6082570883E-004
#     -4    -1       1.9546119742E-003
#     -4     0       9.9868165001E-003
#     -4     1       1.2329197502E-002
#     -4     2       8.6740216006E-003
#     -4     3       4.9766590925E-003
#     -4     4       3.3866360237E-003
#     -4     5       4.8826672587E-004
#     -4     6       7.4463041232E-005
#     -3    -3       3.3237107094E-004
#     -3    -2       2.2758857408E-003
#     -3    -1       1.3183096354E-002
#     -3     0       3.1172257271E-002
#     -3     1       2.1396456553E-002
#     -3     2       1.1437329101E-002
#     -3     3       1.7867680289E-002
#     -3     4       4.9650113622E-003
#     -3     5       1.4471166022E-003
#     -2    -4       7.3699637119E-005
#     -2    -3       7.3669380577E-004
#     -2    -2       1.4040868253E-002
#     -2    -1       4.0709993855E-002
#     -2     0       4.3057991573E-002
#     -2     1       1.7104270764E-002
#     -2     2       3.5597754226E-002
#     -2     3       2.2805076076E-002
#     -2     4       1.6536652465E-002
#     -2     5       1.4546989046E-006
#     -1    -4       6.7147264558E-006
#     -1    -3       2.1140828857E-003
#     -1    -2       2.4220628146E-002
#     -1    -1       6.1795178272E-002
#     -1     0       1.2657321239E-002
#     -1     1       3.9225160824E-003
#     -1     2       6.8297703834E-002
#     -1     3       5.2292593397E-002
#     -1     4       1.1567048152E-004
#      0    -3       4.6299883906E-003
#      0    -2       1.1147839861E-002
#      0    -1       2.5917135525E-002
#      0     0       7.3950814240E-002
#      0     1       4.9573431840E-002
#      0     2       3.9520834819E-002
#      1    -3       2.5763486296E-002
#      1    -2       9.5793216929E-002
#      1    -1       2.0736429020E-002
#      1     0       4.8500801136E-002
#      1     1       2.9658622491E-002
#     -9     2       1.7155313835E-006
#     -9     3       1.8668070769E-005
#     -9     4       3.2620752515E-005
#     -9     5       4.1970423055E-006
#     -9     6       1.2891640017E-005
#     -8     1       3.2267880293E-006
#     -8     2       2.4140928030E-005
#     -8     3       2.7091714312E-005
#     -8     4       1.7144972388E-004
#     -8     5       5.5184004534E-005
#     -8     6       3.7132929609E-006
#     -7    -1       1.1572806545E-007
#     -7     0       8.5907291940E-006
#     -7     1       2.2554216172E-005
#     -7     2       1.4870701340E-004
#     -7     3       2.9513361766E-004
#     -7     4       7.6836940262E-005
#     -7     5       5.5824032725E-005
#     -7     6       2.8866208116E-006
#     -7     7       1.2579218201E-007
#     -6    -2       1.9935311024E-006
#     -6    -1       1.0181270887E-005
#     -6     0       1.8496671685E-004
#     -6     1       4.3431944660E-004
#     -6     2       7.3374750000E-004
#     -6     3       4.4968035391E-004
#     -6     4       2.1675959057E-004
#     -6     5       7.4754018328E-005
#     -6     6       2.1302287832E-005
