 Diffraction intensities for potential:3x3ikbt_0410001.in                      
#     -7    -3       6.6183290268E-004
#     -7    -2       1.1128982754E-003
#     -7    -1       8.1016196199E-004
#     -7     0       1.6056993251E-003
#     -7     1       1.9120852935E-003
#     -7     2       1.4051100025E-003
#     -7     3       7.1619302609E-004
#     -7     4       1.5441157145E-003
#     -7     5       1.5948217674E-003
#     -7     6       1.3726426481E-003
#     -7     7       2.2880502648E-003
#     -7     8       7.8456950086E-004
#     -7     9       2.5390542681E-003
#     -7    10       1.7129848536E-003
#     -7    11       3.7583008112E-004
#     -7    12       1.4302057082E-003
#     -6   -16       1.4904009652E-006
#     -6   -15       3.4903662209E-006
#     -6   -14       1.6594109397E-006
#     -6   -13       1.4071585662E-005
#     -6   -12       1.1381525541E-004
#     -6   -11       1.5746048764E-004
#     -6   -10       2.6677192596E-004
#     -6    -9       8.8058437233E-004
#     -6    -8       5.2428087899E-004
#     -6    -7       1.8609610172E-003
#     -6    -6       4.3280592747E-003
#     -6    -5       1.5503684540E-003
#     -6    -4       1.0394214162E-003
#     -6    -3       1.3218399649E-002
#     -6    -2       3.4178028477E-004
#     -6    -1       1.9120571611E-003
#     -6     0       2.2159708383E-002
#     -6     1       2.1078764780E-003
#     -6     2       2.6636256041E-003
#     -6     3       1.0479164410E-002
#     -6     4       4.6138279019E-003
#     -6     5       1.1399866684E-003
#     -6     6       6.5552806494E-003
#     -6     7       1.3234467541E-003
#     -6     8       1.0132344097E-003
#     -6     9       1.2563521656E-002
#     -6    10       1.8149202945E-003
#     -6    11       1.8527045788E-003
#     -5   -16       2.7491210271E-008
#     -5   -15       1.8930592805E-006
#     -5   -14       1.0314768470E-005
#     -5   -13       8.4563277506E-006
#     -5   -12       3.2736380267E-005
#     -5   -11       1.2917147564E-004
#     -5   -10       2.3045788369E-004
#     -5    -9       3.1482725495E-005
#     -5    -8       9.5228916056E-004
#     -5    -7       2.9052958386E-003
#     -5    -6       2.0680898463E-003
#     -5    -5       2.5912870640E-003
#     -5    -4       2.9256622747E-003
#     -5    -3       2.7208545665E-003
#     -5    -2       1.4053536999E-003
#     -5    -1       2.1058392370E-003
#     -5     0       3.8103888393E-003
#     -5     1       7.6370751141E-004
#     -5     2       1.9159645857E-003
#     -5     3       3.3060895417E-003
#     -5     4       1.3827858949E-003
#     -5     5       2.8805976140E-003
#     -5     6       9.4303069350E-004
#     -5     7       6.0109517026E-004
#     -5     8       5.2244644648E-004
#     -5     9       3.4419946635E-003
#     -5    10       3.3537038988E-003
#     -5    11       1.2725434456E-003
#     -4   -16       1.2097469545E-006
#     -4   -15       9.1697293904E-006
#     -4   -14       7.1649882892E-006
#     -4   -13       1.2200421773E-005
#     -4   -12       4.7626178107E-005
#     -4   -11       2.3288368784E-005
#     -4   -10       9.2981290231E-005
#     -4    -9       5.7507719905E-004
#     -4    -8       8.5972788171E-004
#     -4    -7       4.8304115475E-004
#     -4    -6       4.0789035576E-004
#     -4    -5       1.3765676031E-003
#     -4    -4       3.1835262882E-004
#     -4    -3       7.1676405806E-004
#     -4    -2       2.6634454350E-003
