 Diffraction intensities for potential:ensembletest10002.in                    
#    -30    11       1.7907625992E-005
#    -30    12       5.4822318325E-005
#    -30    13       4.0946908872E-005
#    -30    14       4.6985594482E-005
#    -30    15       6.4481782190E-004
#    -30    16       6.6178051704E-006
#    -30    17       7.7733661991E-006
#    -30    18       2.2860772603E-005
#    -30    19       6.7415663496E-006
#    -30    20       9.1911989945E-006
#    -30    21       6.1315378597E-005
#    -30    22       2.6398510983E-004
#    -30    23       6.6924510208E-004
#    -30    24       1.9327341931E-004
#    -30    25       4.7707409982E-004
#    -30    26       9.9676170270E-005
#    -30    27       2.5301005456E-004
#    -30    28       2.0589794816E-005
#    -29   -16       9.0304574469E-005
#    -29   -15       9.7225557260E-007
#    -29   -14       3.7659418094E-005
#    -29   -13       4.8199650363E-005
#    -29   -12       7.2180663363E-006
#    -29   -11       7.1893574043E-005
#    -29   -10       1.5995655635E-005
#    -29    -9       4.6632072559E-005
#    -29    -8       3.7629264278E-005
#    -29    -7       1.8605753101E-005
#    -29    -6       5.8337291844E-005
#    -29    -5       3.2360367986E-005
#    -29    -4       2.8231076313E-005
#    -29    -3       7.2948092828E-005
#    -29    -2       7.5761710578E-006
#    -29    -1       4.9967460278E-005
#    -29     0       2.7124649720E-005
#    -29     1       1.6523465240E-005
#    -29     2       4.8166051346E-005
#    -29     3       1.0443681367E-006
#    -29     4       2.6993359697E-005
#    -29     5       3.0829887947E-006
#    -29     6       2.7894834826E-005
#    -29     7       1.1509345396E-005
#    -29     8       3.3971359850E-006
#    -29     9       6.9226755246E-006
#    -29    10       2.9618065020E-006
#    -29    11       3.7239560778E-005
#    -29    12       1.4435008560E-005
#    -29    13       2.6823526774E-005
#    -29    14       3.6864690872E-005
#    -29    15       6.2214867637E-006
#    -29    16       1.5297550507E-005
#    -29    17       6.2020872523E-006
#    -29    18       1.5397404680E-006
#    -29    19       3.2527762291E-005
#    -29    20       1.5515060907E-005
#    -29    21       1.2179275509E-004
#    -29    22       5.9650751018E-005
#    -29    23       4.0170844989E-005
#    -29    24       1.7953675707E-004
#    -29    25       6.7516298734E-006
#    -29    26       2.1315188221E-005
#    -29    27       9.3037905082E-005
#    -28   -16       1.0227477380E-004
#    -28   -15       4.2867280225E-005
#    -28   -14       6.7899159587E-005
#    -28   -13       2.2868682391E-004
#    -28   -12       2.2414224197E-005
#    -28   -11       2.3443007427E-004
#    -28   -10       9.8529458033E-005
#    -28    -9       5.4187147633E-005
#    -28    -8       1.7305100167E-004
#    -28    -7       8.0383126822E-006
#    -28    -6       1.5141947911E-004
#    -28    -5       1.0318346077E-004
#    -28    -4       2.1540716580E-005
#    -28    -3       1.2070831267E-004
#    -28    -2       2.9683073085E-006
#    -28    -1       9.2858584835E-005
#    -28     0       2.9559401211E-005
#    -28     1       4.7112977373E-005
#    -28     2       7.6898102858E-005
#    -28     3       9.8411702660E-007
#    -28     4       3.9033693765E-005
#    -28     5       1.7079500379E-005
#    -28     6       5.8349508457E-005
#    -28     7       6.5624679329E-005
#    -28     8       1.1347123318E-005
#    -28     9       2.4500618455E-005
#    -28    10       3.9550453367E-005
#    -28    11       7.5768355324E-005
#    -28    12       2.5608920653E-004
#    -28    13       3.6908132763E-005
#    -28    14       2.9666383878E-004
#    -28    15       3.3342711738E-005
#    -28    16       5.6378343785E-005
#    -28    17       2.1838657341E-005
#    -28    18       7.2001469506E-006
#    -28    19       1.9466511369E-005
#    -28    20       2.4594349882E-005
#    -28    21       5.8377010930E-005
#    -28    22       2.1003272734E-004
#    -28    23       2.3515878248E-005
#    -28    24       3.8102576177E-004
#    -28    25       1.2773034153E-004
#    -28    26       1.3615363149E-004
#    -28    27       2.4422835224E-004
#    -27   -17       6.8911730493E-005
#    -27   -16       3.3905627683E-005
#    -27   -15       5.2036163297E-005
#    -27   -14       1.5538656128E-004
#    -27   -13       2.5851512774E-005
#    -27   -12       2.9419226261E-004
#    -27   -11       1.0737248387E-004
#    -27   -10       6.2282132608E-005
#    -27    -9       1.3450219417E-004
#    -27    -8       3.4429466461E-006
#    -27    -7       1.0196783712E-004
#    -27    -6       5.8795706128E-005
#    -27    -5       4.1095697963E-006
#    -27    -4       9.3778933784E-005
#    -27    -3       1.5061035235E-005
#    -27    -2       7.8479542468E-005
#    -27    -1       6.4380110329E-005
#    -27     0       1.9783581068E-005
#    -27     1       1.0207085338E-004
#    -27     2       1.4237513519E-005
#    -27     3       5.2052036260E-005
#    -27     4       3.0431466631E-005
#    -27     5       7.5633978118E-005
#    -27     6       1.1082694324E-004
#    -27     7       3.5842883411E-006
#    -27     8       1.1185942845E-004
#    -27     9       7.7146305502E-005
#    -27    10       1.1849824815E-004
#    -27    11       3.3607194317E-004
#    -27    12       6.7470936909E-005
#    -27    13       4.5000728230E-004
#    -27    14       7.0071916700E-005
#    -27    15       1.3254447082E-004
#    -27    16       1.1968710563E-004
#    -27    17       1.2558264699E-006
#    -27    18       6.5515359545E-005
#    -27    19       5.5678812951E-005
#    -27    20       6.9233530285E-005
#    -27    21       1.9411055200E-004
#    -27    22       2.4611486344E-005
#    -27    23       3.4395550182E-004
#    -27    24       1.4981729247E-004
#    -27    25       1.7518262157E-004
#    -27    26       2.0315955091E-004
#    -27    27       1.5248029641E-005
#    -26   -18       1.3255122210E-005
#    -26   -17       2.7435504241E-005
