Diffraction intensities for potential:pot10001.in                             
#    -36     3       2.1067036533E-007
#    -36     4       2.6135679228E-006
#    -36     5       3.1243314447E-006
#    -36     6       3.1782954977E-005
#    -36     7       2.0891850469E-006
#    -36     8       5.1806022996E-007
#    -36     9       3.3147358071E-006
#    -36    10       1.2516536929E-005
#    -36    11       3.7368726196E-005
#    -36    12       2.2876183262E-004
#    -36    13       5.1384230402E-005
#    -36    14       4.6668695032E-005
#    -36    15       5.3951136422E-005
#    -36    16       7.3396286680E-005
#    -36    17       8.7115849793E-005
#    -36    18       2.4139822704E-004
#    -36    19       6.6859436186E-005
#    -36    20       4.9673753536E-005
#    -36    21       3.8156975125E-005
#    -36    22       3.8026548590E-005
#    -36    23       3.8837749695E-005
#    -36    24       6.9491820206E-005
#    -36    25       4.4845349390E-005
#    -36    26       3.0658577208E-005
#    -36    27       1.9603603336E-005
#    -36    28       1.5162735387E-005
#    -36    29       1.4174526342E-005
#    -36    30       7.4468052324E-005
#    -36    31       9.1230040362E-006
#    -36    32       4.2058765467E-006
#    -36    33       1.0762364038E-006
#    -36    34       1.9441981901E-006
#    -36    35       2.5876764079E-006
#    -36    36       2.7695686823E-005
#    -36    37       4.7725938655E-008
#    -36    38       2.0053033571E-006
#    -36    39       6.4449547011E-006
#    -36    40       1.1988813096E-005
#    -36    41       1.1916616831E-005
#    -36    42       6.8535964828E-006
#    -36    43       4.9961330459E-006
#    -36    44       4.4672178207E-006
#    -36    45       5.6737155865E-006
#    -36    46       6.4425287362E-006
#    -36    47       6.4953567129E-006
#    -36    48       3.0320144523E-006
#    -36    49       3.8700378779E-006
#    -36    50       2.3043805227E-006
#    -36    51       9.1418235604E-007
#    -36    52       7.1629677423E-007
#    -36    53       6.7894260153E-007
#    -36    54       1.3748361919E-007
#    -35     2       2.8678291607E-007
#    -35     3       5.8128088653E-007
#    -35     4       3.6648600360E-006
#    -35     5       1.2928131990E-005
#    -35     6       9.9309849649E-006
#    -35     7       4.8391321086E-006
#    -35     8       1.4847031889E-006
#    -35     9       8.4941830266E-006
#    -35    10       2.8817404881E-005
#    -35    11       4.4523682418E-005
#    -35    12       6.3285634974E-005
#    -35    13       6.4466900492E-005
#    -35    14       6.2353015836E-005
#    -35    15       7.3815276519E-005
#    -35    16       8.7805617515E-005
#    -35    17       9.1457483487E-005
#    -35    18       8.3273154763E-005
#    -35    19       6.2553726775E-005
#    -35    20       4.3902296826E-005
#    -35    21       3.7042678130E-005
#    -35    22       3.9022964584E-005
#    -35    23       4.6726733677E-005
#    -35    24       3.9123986632E-005
#    -35    25       2.5944597754E-005
#    -35    26       1.3072413409E-005
#    -35    27       9.0710687173E-006
#    -35    28       9.5267867790E-006
#    -35    29       1.0830840818E-005
#    -35    30       6.0604885661E-006
#    -35    31       1.9257615836E-006
#    -35    32       1.1232638795E-006
#    -35    33       4.9586460438E-006
#    -35    34       8.7102925883E-006
#    -35    35       7.2299731019E-006
#    -35    36       2.5874192001E-006
#    -35    37       3.0314742621E-007
#    -35    38       3.7448590851E-006
#    -35    39       1.1263414246E-005
#    -35    40       1.5324192174E-005
#    -35    41       1.3211292772E-005
#    -35    42       7.8677523202E-006
#    -35    43       4.0840715866E-006
#    -35    44       4.8792655458E-006
#    -35    45       6.8614624101E-006
#    -35    46       1.0403800161E-005
#    -35    47       8.4699938376E-006
#    -35    48       4.9477014735E-006
#    -35    49       3.5904526079E-006
#    -35    50       2.7685033122E-006
#    -35    51       1.3789181328E-006
#    -35    52       1.2115060570E-006
#    -35    53       3.2200525803E-007
#    -35    54       5.6179997402E-007
#    -34     1       4.0200042834E-006
#    -34     2       2.9162261354E-007
#    -34     3       4.5844438169E-006
#    -34     4       4.3369784208E-006
#    -34     5       1.3961738340E-005
#    -34     6       1.1785775443E-005
#    -34     7       1.9912767780E-006
#    -34     8       4.2594664936E-006
#    -34     9       1.1703268004E-005
#    -34    10       4.6126237321E-005
#    -34    11       6.1642548654E-005
#    -34    12       7.1720332251E-005
#    -34    13       7.1124729694E-005
#    -34    14       6.4733829200E-005
#    -34    15       8.7631542617E-005
#    -34    16       9.1528319564E-005
#    -34    17       8.4114758680E-005
#    -34    18       6.0853026654E-005
#    -34    19       3.6778187780E-005
#    -34    20       2.9450913389E-005
#    -34    21       3.1866074548E-005
#    -34    22       3.3127273160E-005
#    -34    23       3.0742265783E-005
#    -34    24       1.5597863689E-005
#    -34    25       5.2447401614E-006
#    -34    26       4.1715080457E-006
#    -34    27       7.2652626551E-006
#    -34    28       8.4546466392E-006
#    -34    29       5.1850128934E-006
#    -34    30       4.6857680937E-007
#    -34    31       1.6414288119E-006
#    -34    32       8.6666712650E-006
#    -34    33       1.5715291469E-005
#    -34    34       1.5500624990E-005
#    -34    35       8.7097054922E-006
#    -34    36       1.9431685394E-006
#    -34    37       2.1024009909E-006
#    -34    38       9.2632972402E-006
#    -34    39       1.6970639393E-005
#    -34    40       1.7864439564E-005
#    -34    41       1.1943139997E-005
#    -34    42       6.1702675528E-006
#    -34    43       3.7661122025E-006
#    -34    44       5.4898810006E-006
#    -34    45       7.7260389332E-006
#    -34    46       9.4548308662E-006
#    -34    47       7.4737412520E-006
#    -34    48       6.3285352655E-006
#    -34    49       4.5662684406E-006
#    -34    50       2.5961901718E-006
#    -34    51       1.5907118497E-006
#    -34    52       8.5340074678E-007
#    -34    53       8.9938353482E-007
#    -34    54       3.1856341600E-008
#    -33     0       6.3020860900E-006
#    -33     1       1.5774299358E-006
#    -33     2       7.3690427717E-007
#    -33     3       2.3751770464E-006
#    -33     4       5.7912566452E-006
#    -33     5       1.3095264215E-005
#    -33     6       9.6039755971E-006
#    -33     7       4.3501160323E-006
#    -33     8       4.5793266143E-006
