 Diffraction intensities for potential:gv5x5_30D10002.in                       
#    -11    15       1.1458828542E-003
#    -11    16       5.1463059926E-006
#    -11    17       7.0359021026E-005
#    -11    18       1.1140145306E-004
#    -11    19       4.0235090641E-004
#    -11    20       7.3887770644E-005
#    -11    21       3.4758592509E-004
#    -11    22       1.4311325428E-004
#    -11    23       6.8598431359E-005
#    -11    24       1.0811241249E-004
#    -11    25       2.4621409777E-004
#    -11    26       4.1378970611E-005
#    -11    27       4.1854754443E-005
#    -10   -17       3.0339338331E-004
#    -10   -16       1.4019211641E-004
#    -10   -15       2.0273848388E-004
#    -10   -14       1.2835248656E-004
#    -10   -13       4.2393119189E-005
#    -10   -12       5.4292403719E-006
#    -10   -11       1.6649833904E-004
#    -10   -10       3.1738654647E-003
#    -10    -9       2.2598489354E-004
#    -10    -8       2.3463400942E-005
#    -10    -7       3.9072595184E-004
#    -10    -6       3.0900036746E-005
#    -10    -5       7.6638193551E-003
#    -10    -4       6.4236850332E-005
#    -10    -3       9.0651240210E-005
#    -10    -2       3.1324013757E-005
#    -10    -1       7.5502798056E-007
#    -10     0       5.3701431103E-003
#    -10     1       7.1991975750E-004
#    -10     2       4.6520845337E-005
#    -10     3       6.1297287076E-004
#    -10     4       1.9690931215E-004
#    -10     5       1.6133998482E-003
#    -10     6       2.7972066386E-004
#    -10     7       3.1539342453E-004
#    -10     8       3.6920350244E-004
#    -10     9       4.1105498735E-004
#    -10    10       1.9219719027E-002
#    -10    11       1.4474097987E-004
#    -10    12       3.7572500532E-004
#    -10    13       2.5969640721E-004
#    -10    14       2.6295944664E-004
#    -10    15       4.2348663681E-003
#    -10    16       1.7131869560E-004
#    -10    17       3.7683082000E-004
#    -10    18       6.9753144646E-005
#    -10    19       1.3186313020E-004
#    -10    20       3.4594149787E-003
#    -10    21       2.0976681273E-004
#    -10    22       2.5431637221E-004
#    -10    23       1.3025668715E-004
#    -10    24       1.8387866019E-004
#    -10    25       1.0822125175E-003
#    -10    26       2.0883373653E-004
#    -10    27       7.7253786123E-007
#     -9   -18       3.5601607944E-004
#     -9   -17       8.7408086233E-005
#     -9   -16       3.4933384867E-005
#     -9   -15       1.3546631485E-005
#     -9   -14       9.5506957591E-005
#     -9   -13       3.4959931212E-004
#     -9   -12       4.1275900216E-005
#     -9   -11       1.8852387308E-004
#     -9   -10       4.6740308100E-004
#     -9    -9       6.5627482439E-005
#     -9    -8       2.9970821489E-004
#     -9    -7       9.2275008056E-005
#     -9    -6       1.3188312890E-004
#     -9    -5       5.9376591867E-004
#     -9    -4       2.3174245180E-004
#     -9    -3       2.0701646424E-004
#     -9    -2       3.6810580264E-004
#     -9    -1       1.4925880268E-005
#     -9     0       6.6181253714E-004
#     -9     1       8.0621842742E-005
#     -9     2       1.4515259971E-004
#     -9     3       2.4684172391E-004
#     -9     4       4.7161030904E-004
#     -9     5       4.4701647494E-004
#     -9     6       1.2717332092E-004
#     -9     7       5.6942006505E-004
#     -9     8       1.8767920219E-004
#     -9     9       2.6989618338E-005
