 Diffraction intensities for potential:restest_32_15010001.in                  
#    -29    -4       2.3772379985E-005
#    -29    -3       2.2218933268E-005
#    -29    -2       1.9214449822E-005
#    -29    -1       1.7213022858E-005
#    -29     0       1.3275071511E-005
#    -29     1       1.2316201838E-005
#    -29     2       1.0983957961E-005
#    -29     3       9.9293789737E-006
#    -29     4       1.1203913068E-005
#    -29     5       1.3429045950E-005
#    -29     6       1.7617132563E-005
#    -29     7       1.1769850235E-005
#    -29     8       3.6835381680E-006
#    -29     9       2.2936948324E-006
#    -29    10       5.0390738166E-006
#    -29    11       1.5813230902E-005
#    -29    12       1.8373012294E-005
#    -29    13       1.6782886724E-005
#    -29    14       2.6459075890E-005
#    -29    15       1.1003972205E-005
#    -29    16       3.5341031317E-006
#    -29    17       3.1896411514E-006
#    -29    18       2.0701785076E-006
#    -29    19       6.0195274162E-007
#    -29    20       8.2557645910E-006
#    -29    21       5.0330268677E-005
#    -29    22       4.6603313842E-005
#    -29    23       8.5468958152E-005
#    -29    24       6.9630377360E-005
#    -29    25       5.0654211980E-005
#    -29    26       1.4385745891E-005
#    -29    27       9.5238948900E-006
#    -28   -16       2.2569136419E-005
#    -28   -15       1.7356773487E-005
#    -28   -14       1.9941794022E-005
#    -28   -13       2.5770006224E-005
#    -28   -12       3.6363706686E-005
#    -28   -11       4.0695616307E-005
#    -28   -10       3.0858258037E-005
#    -28    -9       2.6215767956E-005
#    -28    -8       2.1694237803E-005
#    -28    -7       2.4815299777E-005
#    -28    -6       1.8889278859E-005
#    -28    -5       1.6420526126E-005
#    -28    -4       1.4461398892E-005
#    -28    -3       1.4643404381E-005
#    -28    -2       1.6244398185E-005
#    -28    -1       1.2310868807E-005
#    -28     0       1.2191894918E-005
#    -28     1       1.3591364230E-005
#    -28     2       1.4065745211E-005
#    -28     3       1.1647988191E-005
#    -28     4       1.5675445783E-005
#    -28     5       2.0681346015E-005
#    -28     6       2.1469252987E-005
#    -28     7       1.8585384064E-005
#    -28     8       9.8912085545E-006
#    -28     9       9.1147740517E-006
#    -28    10       2.1471734461E-005
#    -28    11       3.5588941504E-005
#    -28    12       4.6669356694E-005
#    -28    13       5.0049689413E-005
#    -28    14       4.7779704768E-005
#    -28    15       2.4067961619E-005
#    -28    16       1.4724372558E-005
#    -28    17       5.3695113522E-006
#    -28    18       1.3560873858E-005
#    -28    19       5.2062315239E-006
#    -28    20       1.4663923198E-005
#    -28    21       2.7570010209E-005
#    -28    22       6.2337684386E-005
#    -28    23       5.0242843687E-005
#    -28    24       7.1534572672E-005
#    -28    25       6.1205506823E-005
#    -28    26       4.0171305644E-005
#    -28    27       1.0967572409E-005
#    -27   -17       9.0047494681E-006
#    -27   -16       1.3656751157E-005
#    -27   -15       2.1256938558E-005
#    -27   -14       2.7183313008E-005
#    -27   -13       3.8417314081E-005
#    -27   -12       4.2623349939E-005
#    -27   -11       3.8076416116E-005
