 Diffraction intensities for potential:_6x6_07D10011.in                        
#    -41    -7       1.9953959702E-006
#    -41    -6       7.4663103581E-007
#    -41    -5       5.8072678449E-008
#    -41    -4       4.5129424567E-008
#    -41    -3       1.2815858756E-006
#    -41    -2       5.0586046644E-007
#    -41    -1       1.2048625658E-006
#    -41     0       6.9794895614E-007
#    -41     1       2.9948874774E-007
#    -41     2       1.5634775452E-006
#    -41     3       7.9063689622E-007
#    -41     4       1.4678237039E-006
#    -41     5       3.0284665026E-006
#    -41     6       1.2469449089E-007
#    -41     7       1.3489615401E-006
#    -41     8       3.3420583941E-005
#    -41     9       6.7481999099E-006
#    -41    10       1.0850186785E-005
#    -41    11       1.3540137895E-005
#    -41    12       7.9109865524E-007
#    -41    13       5.9683932271E-006
#    -41    14       6.8289349965E-005
#    -41    15       2.5866642819E-005
#    -41    16       2.2397715931E-005
#    -41    17       4.2661511466E-005
#    -41    18       2.0548247985E-006
#    -41    19       4.5283365654E-006
#    -41    20       3.2357882444E-005
#    -41    21       1.3784087682E-005
#    -41    22       8.3760281365E-006
#    -41    23       1.4636016912E-005
#    -41    24       2.1348570776E-006
#    -41    25       1.7827420514E-006
#    -41    26       5.4272206983E-006
#    -41    27       7.4828171890E-007
#    -41    28       1.6760468735E-007
#    -41    29       1.2922825365E-006
#    -41    30       5.3680809445E-007
#    -41    31       1.4830027641E-006
#    -41    32       1.3229183191E-006
#    -41    33       1.3508992268E-007
#    -40   -14       7.3914773591E-007
#    -40   -13       4.5644461607E-007
#    -40   -12       5.5454786895E-007
#    -40   -11       9.6289562260E-009
#    -40   -10       8.6095967712E-007
#    -40    -9       4.4856354679E-007
#    -40    -8       6.8898785478E-007
#    -40    -7       2.6177401707E-007
#    -40    -6       9.1659107507E-007
#    -40    -5       5.2984356437E-007
#    -40    -4       3.4222881621E-007
#    -40    -3       8.0075987721E-008
#    -40    -2       1.3808690441E-007
#    -40    -1       7.7315518593E-008
#    -40     0       4.6839491504E-007
#    -40     1       8.3118576274E-007
#    -40     2       5.7995802386E-008
#    -40     3       2.9005793422E-007
#    -40     4       1.2328519955E-006
#    -40     5       7.4847518553E-007
#    -40     6       4.0148914638E-006
#    -40     7       5.0954302840E-006
#    -40     8       9.7772277365E-006
#    -40     9       8.6351988167E-006
#    -40    10       3.2534423450E-006
#    -40    11       5.1542831195E-007
#    -40    12       5.2820037930E-006
#    -40    13       1.0167446799E-005
#    -40    14       2.0641136076E-005
#    -40    15       1.1384696664E-005
#    -40    16       7.6214282836E-006
#    -40    17       5.7770508930E-007
#    -40    18       5.5021492774E-006
#    -40    19       6.5617920143E-006
#    -40    20       1.0133484289E-005
#    -40    21       6.3440971444E-006
#    -40    22       2.1634156625E-006
#    -40    23       1.0334142139E-007
#    -40    24       1.8094718274E-006
#    -40    25       1.3862439801E-007
#    -40    26       2.1258150098E-007
#    -40    27       1.4129454753E-006
#    -40    28       6.7181164100E-007
#    -40    29       4.5572368526E-007
#    -40    30       7.7271017083E-007
#    -40    31       5.4746518676E-008
#    -40    32       2.4734191469E-006
#    -40    33       9.3370633075E-007
#    -39   -15       8.3947979009E-007
#    -39   -14       5.7284984371E-007
#    -39   -13       5.2753364057E-007
#    -39   -12       1.0989910667E-006
#    -39   -11       2.0729549097E-006
#    -39   -10       5.8322684730E-006
#    -39    -9       4.1719147520E-007
#    -39    -8       7.3771643668E-006
#    -39    -7       8.4322701947E-006
#    -39    -6       2.2651257576E-006
#    -39    -5       3.1775023932E-006
#    -39    -4       2.6749997869E-007
#    -39    -3       3.7089050391E-008
#    -39    -2       7.1465867973E-006
#    -39    -1       1.0095668768E-005
#    -39     0       9.5112911065E-006
#    -39     1       6.4344745901E-006
#    -39     2       8.2133047185E-006
#    -39     3       1.2133430268E-006
#    -39     4       2.5026219772E-005
#    -39     5       3.0183397805E-005
#    -39     6       3.1257712438E-005
#    -39     7       4.2864784640E-005
#    -39     8       9.0681624088E-005
#    -39     9       5.2807496253E-006
#    -39    10       9.2676028385E-005
#    -39    11       8.1045988818E-005
#    -39    12       4.7891424203E-005
#    -39    13       7.9332063073E-005
#    -39    14       1.5737237837E-004
#    -39    15       1.0345404857E-005
#    -39    16       1.3638636777E-004
#    -39    17       1.1731303579E-004
#    -39    18       3.6282299225E-005
#    -39    19       3.9452904550E-005
#    -39    20       4.4716849757E-005
#    -39    21       1.3984370850E-006
#    -39    22       4.1350177406E-005
#    -39    23       2.4272021195E-005
#    -39    24       9.9714276334E-006
#    -39    25       9.6534030207E-006
#    -39    26       8.3033753869E-006
#    -39    27       5.1179192980E-006
#    -39    28       7.0145484162E-006
#    -39    29       7.4497333395E-009
#    -39    30       1.1694309566E-006
#    -39    31       1.3347892610E-006
#    -39    32       5.0878622012E-006
#    -39    33       7.6378127760E-006
#    -38   -16       1.4821814152E-007
#    -38   -15       4.1366221494E-007
#    -38   -14       8.4860736462E-007
#    -38   -13       7.8706932749E-007
#    -38   -12       2.5377100737E-007
#    -38   -11       8.6144235077E-008
#    -38   -10       1.2753296782E-006
#    -38    -9       3.0191510732E-006
#    -38    -8       6.4530564234E-006
#    -38    -7       5.1305236903E-006
#    -38    -6       4.4587874271E-006
#    -38    -5       1.4193752373E-006
#    -38    -4       3.0193028356E-006
#    -38    -3       2.2020538153E-006
#    -38    -2       1.2273167535E-005
#    -38    -1       1.0549321531E-005
#    -38     0       1.3600594489E-005
#    -38     1       1.2295142016E-005
#    -38     2       1.5292207248E-005
#    -38     3       3.7278398831E-006
#    -38     4       2.9051904889E-005
#    -38     5       2.4158117025E-005
#    -38     6       4.1352902291E-005
#    -38     7       2.3442749918E-005
#    -38     8       6.9681222198E-005
#    -38     9       2.5375799742E-005
#    -38    10       7.5011369825E-005
#    -38    11       4.4216832156E-005
#    -38    12       6.0807149989E-005
#    -38    13       2.6058736209E-005
#    -38    14       8.6561179322E-005
#    -38    15       4.3077038085E-005
#    -38    16       9.1014340455E-005
#    -38    17       4.1405683621E-005
#    -38    18       3.4173778605E-005
#    -38    19       1.7902438471E-005
#    -38    20       1.7557020052E-005
#    -38    21       1.1647332094E-005
#    -38    22       1.7831802863E-005
#    -38    23       1.7995837715E-005
#    -38    24       5.6061842680E-006
#    -38    25       2.4523380812E-006
#    -38    26       3.2331644632E-006
#    -38    27       4.3202845098E-006
#    -38    28       6.7162566084E-007
#    -38    29       2.9569001449E-007
#    -38    30       1.4818552616E-006
#    -38    31       3.7917894235E-007
#    -38    32       5.0631320436E-007
#    -38    33       2.2753309589E-008
#    -37   -17       8.0136585745E-007
#    -37   -16       4.5464673132E-007
#    -37   -15       4.6848834661E-008
#    -37   -14       1.6038072381E-006
#    -37   -13       1.3029192815E-007
#    -37   -12       3.3146561330E-007
#    -37   -11       2.0791925627E-007
#    -37   -10       2.6638842440E-006
#    -37    -9       4.7116301758E-006
#    -37    -8       1.7533195695E-005
#    -37    -7       1.5989330070E-006
#    -37    -6       2.0066449498E-007
#    -37    -5       1.4389213191E-006
#    -37    -4       3.6591193061E-006
#    -37    -3       7.6218564339E-006
#    -37    -2       3.2467618667E-005
#    -37    -1       2.7406339466E-006
#    -37     0       1.3525178838E-006
#    -37     1       6.6586887650E-006
#    -37     2       9.7407876685E-006
#    -37     3       1.7774564755E-005
#    -37     4       7.8037320885E-005
#    -37     5       8.7105977308E-006
#    -37     6       3.3942016079E-006
#    -37     7       2.2852868368E-005
#    -37     8       1.8371807856E-005
#    -37     9       3.3185234262E-005
#    -37    10       7.3488530154E-005
#    -37    11       8.6577561673E-006
#    -37    12       3.4337737299E-006
#    -37    13       8.3592353308E-006
#    -37    14       1.3392762380E-005
#    -37    15       1.5993784891E-005
#    -37    16       3.8853173392E-005
#    -37    17       1.5987205525E-006
#    -37    18       1.4027948133E-007
#    -37    19       1.1148658456E-006
#    -37    20       3.3282563544E-006
#    -37    21       1.2420136391E-006
#    -37    22       8.3033678271E-006
#    -37    23       2.2578155896E-007
#    -37    24       3.2888975993E-006
#    -37    25       1.2771419671E-006
#    -37    26       1.8344830403E-007
#    -37    27       2.5763363067E-006
#    -37    28       7.7365387354E-007
#    -37    29       2.1188305554E-007
#    -37    30       1.9313625417E-007
#    -37    31       8.7780123172E-007
#    -37    32       4.0433839887E-006
#    -37    33       1.0946273501E-006
#    -36   -18       1.1509782071E-006
#    -36   -17       2.8399870884E-007
#    -36   -16       5.6373018519E-007
#    -36   -15       3.4698613032E-006
#    -36   -14       9.6243105252E-008
#    -36   -13       6.6870192431E-007
#    -36   -12       2.4552176336E-005
#    -36   -11       2.4123986335E-006
#    -36   -10       2.8946768915E-006
#    -36    -9       4.5350526049E-005
#    -36    -8       1.6593142221E-006
#    -36    -7       1.2464342510E-006
#    -36    -6       2.9968073058E-004
#    -36    -5       2.1174509160E-007
#    -36    -4       1.6682837373E-006
#    -36    -3       6.2410979593E-005
#    -36    -2       3.5397278595E-006
#    -36    -1       6.4946918442E-006
#    -36     0       9.4799905512E-004
#    -36     1       1.0611649059E-006
#    -36     2       3.7013588893E-006
#    -36     3       9.2950956749E-005
#    -36     4       8.4023166064E-006
#    -36     5       7.3620343588E-006
#    -36     6       1.7515107462E-003
#    -36     7       1.5445747485E-006
#    -36     8       2.7196322244E-006
#    -36     9       1.3251390120E-005
#    -36    10       2.8561963352E-006
#    -36    11       4.0974025443E-006
#    -36    12       2.1906581924E-003
#    -36    13       4.1610090695E-006
#    -36    14       7.9037993541E-006
#    -36    15       7.2121160896E-005
#    -36    16       7.3999879851E-007
#    -36    17       6.6100394056E-007
#    -36    18       1.1992204236E-003
#    -36    19       5.5291067450E-006
#    -36    20       5.9716389035E-007
#    -36    21       2.1708729470E-005
#    -36    22       2.5989898700E-006
#    -36    23       1.7761919616E-006
#    -36    24       1.8054996220E-004
#    -36    25       1.3579678419E-006
#    -36    26       3.0130658027E-006
#    -36    27       2.9200915852E-006
#    -36    28       4.5845740010E-006
#    -36    29       6.3636003850E-007
#    -36    30       9.4677830441E-005
#    -36    31       9.0623906881E-006
#    -36    32       3.4891564787E-006
#    -36    33       4.8810572818E-006
#    -35   -19       1.4294983687E-007
#    -35   -18       2.2438984629E-008
#    -35   -17       3.5890817983E-007
#    -35   -16       1.3520813650E-006
#    -35   -15       1.1546854060E-006
#    -35   -14       1.0528158118E-006
#    -35   -13       4.0543336454E-006
#    -35   -12       8.4706194749E-007
#    -35   -11       1.3488224477E-006
#    -35   -10       8.7935802186E-006
#    -35    -9       3.2854334368E-006
#    -35    -8       2.9774584736E-006
#    -35    -7       4.2303961456E-006
#    -35    -6       5.1040743402E-007
#    -35    -5       4.4103128929E-007
#    -35    -4       7.3389012041E-007
#    -35    -3       4.0954778122E-007
#    -35    -2       2.7981508849E-006
#    -35    -1       4.3534637972E-006
#    -35     0       6.1058051602E-007
#    -35     1       2.4835762275E-006
#    -35     2       5.2071612985E-006
#    -35     3       2.7073297468E-007
#    -35     4       2.2606300683E-007
#    -35     5       4.1936519782E-007
#    -35     6       3.2830167841E-009
#    -35     7       1.2789783148E-006
#    -35     8       2.7531243613E-005
#    -35     9       8.8209797607E-006
#    -35    10       1.0032409297E-005
#    -35    11       1.2508742744E-005
#    -35    12       1.0239584799E-006
#    -35    13       7.1258254015E-006
#    -35    14       7.9045082748E-005
#    -35    15       3.0656218435E-005
#    -35    16       2.8724219674E-005
#    -35    17       6.1144766637E-005
#    -35    18       2.9808739167E-006
#    -35    19       2.7100191194E-006
#    -35    20       1.7740225443E-005
#    -35    21       5.8446279431E-006
#    -35    22       2.5512159444E-006
#    -35    23       3.4436537380E-006
#    -35    24       4.3704746637E-007
#    -35    25       1.8440497435E-006
#    -35    26       1.6500530934E-006
#    -35    27       1.6815836161E-006
#    -35    28       1.9323851559E-006
#    -35    29       4.5905890545E-006
#    -35    30       2.8828458726E-006
#    -35    31       5.1798984495E-007
#    -35    32       1.7328190585E-007
#    -35    33       1.5926386528E-006
#    -34   -20       3.0693984461E-008
#    -34   -19       4.7011959176E-007
#    -34   -18       5.8480061402E-007
#    -34   -17       1.2663672431E-007
#    -34   -16       5.9384766733E-007
#    -34   -15       1.0052578974E-006
#    -34   -14       4.4504923773E-006
#    -34   -13       2.1431620657E-006
#    -34   -12       6.3451561965E-006
#    -34   -11       8.7853735463E-007
#    -34   -10       6.0188909941E-006
#    -34    -9       2.4893473623E-006
#    -34    -8       2.0219924564E-006
#    -34    -7       8.4928261891E-007
#    -34    -6       4.0698164609E-006
#    -34    -5       3.0309085535E-006
#    -34    -4       3.2203677134E-006
#    -34    -3       2.6768845509E-006
#    -34    -2       3.1028095802E-007
#    -34    -1       2.3345729335E-007
#    -34     0       2.2603990946E-006
#    -34     1       2.6305858426E-006
#    -34     2       3.9383913354E-006
#    -34     3       3.4411887495E-006
#    -34     4       1.7552311253E-007
#    -34     5       6.8756746407E-007
#    -34     6       6.5238692200E-006
#    -34     7       8.1610092695E-006
#    -34     8       2.1415363963E-005
#    -34     9       1.9300159395E-005
#    -34    10       9.8109109369E-006
#    -34    11       1.6805944436E-006
#    -34    12       1.0720582648E-005
#    -34    13       2.2755004001E-005
#    -34    14       4.4879885978E-005
#    -34    15       2.6453813472E-005
#    -34    16       2.6833204484E-005
#    -34    17       6.8924788878E-006
#    -34    18       2.8872806241E-005
#    -34    19       1.1463961395E-005
#    -34    20       1.0908681009E-005
#    -34    21       9.9372840164E-007
#    -34    22       2.3309524336E-006
#    -34    23       1.2524917161E-006
#    -34    24       8.9921063728E-006
#    -34    25       5.5793913391E-007
#    -34    26       2.8380190966E-006
#    -34    27       5.5245350593E-006
#    -34    28       3.7784986993E-006
#    -34    29       2.1585503582E-006
#    -34    30       1.0108996195E-006
