 Diffraction intensities for potential:3x3unpristine10001.in                   
#    -11     5       1.2922097462E-003
#    -11     6       5.6261983797E-004
#    -11     7       6.7058182850E-004
#    -11     8       8.2062313007E-004
#    -11     9       5.5114282826E-004
#    -11    10       2.9503433773E-004
#    -11    11       1.2798243893E-003
#    -11    12       1.7513154338E-003
#    -11    13       1.2078743591E-003
#    -11    14       8.1614805846E-004
#    -10   -14       6.1254896871E-005
#    -10   -13       3.5542736247E-005
#    -10   -12       2.5205697581E-005
#    -10   -11       2.5534128018E-004
#    -10   -10       5.9830059395E-004
#    -10    -9       4.3144923390E-004
#    -10    -8       1.1520289698E-004
#    -10    -7       1.8290541564E-003
#    -10    -6       2.1790395224E-003
#    -10    -5       2.3158697257E-005
#    -10    -4       6.1912153783E-004
#    -10    -3       1.4912173036E-003
#    -10    -2       2.4649350977E-003
#    -10    -1       6.0974672951E-004
#    -10     0       1.2608139955E-003
#    -10     1       2.1105586689E-003
#    -10     2       6.6686141907E-005
#    -10     3       9.7500974381E-004
#    -10     4       3.6780958505E-003
#    -10     5       4.4148761320E-004
#    -10     6       5.6121184246E-004
#    -10     7       2.2581992020E-004
#    -10     8       1.4468633064E-003
#    -10     9       4.6346384070E-004
#    -10    10       2.2324824024E-005
#    -10    11       2.8591532895E-003
#    -10    12       3.0973427969E-004
#    -10    13       1.6294206400E-004
#    -10    14       8.2423384986E-004
#     -9   -15       2.4619749675E-006
#     -9   -14       6.5422422005E-005
#     -9   -13       1.3991932225E-004
#     -9   -12       4.3706443067E-005
#     -9   -11       3.9287842479E-004
#     -9   -10       1.7773014733E-004
#     -9    -9       1.2500892961E-003
#     -9    -8       1.9924008962E-003
#     -9    -7       2.5454181470E-006
#     -9    -6       4.0222624955E-003
#     -9    -5       2.6653497920E-003
#     -9    -4       2.6410285244E-004
#     -9    -3       7.7140547335E-003
#     -9    -2       1.7979354949E-004
#     -9    -1       9.0150569640E-004
#     -9     0       8.3408427909E-003
#     -9     1       1.1170339261E-003
#     -9     2       4.0202128536E-004
#     -9     3       9.1327670950E-003
#     -9     4       9.6479148934E-004
#     -9     5       6.6046382301E-004
#     -9     6       3.1896841894E-003
#     -9     7       9.3197546049E-004
#     -9     8       4.2471340399E-004
#     -9     9       2.4649394036E-003
#     -9    10       1.4312194330E-004
#     -9    11       1.8634421676E-003
#     -9    12       1.7957137099E-003
#     -9    13       1.5666149383E-003
#     -8   -15       1.7179780080E-005
#     -8   -14       4.0975159297E-005
#     -8   -13       3.4154190890E-004
#     -8   -12       1.0497101378E-005
#     -8   -11       2.6789520098E-004
#     -8   -10       6.2394230444E-004
#     -8    -9       3.8228054991E-005
#     -8    -8       7.9719897872E-004
#     -8    -7       9.1295075128E-004
#     -8    -6       3.9603102003E-004
#     -8    -5       1.9883180248E-003
#     -8    -4       1.3904557707E-003
#     -8    -3       3.0317596447E-003
#     -8    -2       4.1934994078E-004
#     -8    -1       1.7758082177E-004
#     -8     0       9.4144067193E-004
#     -8     1       3.6283164968E-004
#     -8     2       3.7172464687E-003
#     -8     3       7.2336101403E-004
#     -8     4       1.4201111880E-003
#     -8     5       3.3412192231E-003
#     -8     6       4.6060251520E-003
#     -8     7       3.4116016616E-004
#     -8     8       2.1120797320E-003
#     -8     9       3.3133666204E-003
#     -8    10       2.9449162086E-004
#     -8    11       1.7333457891E-003
#     -8    12       1.0295676313E-003
#     -8    13       7.8512609504E-004
#     -7   -15       2.4682378506E-005
#     -7   -14       1.3865713321E-004
#     -7   -13       2.3211253160E-004
#     -7   -12       1.2085876174E-004
#     -7   -11       6.2032175380E-004
#     -7   -10       9.9897047728E-004
#     -7    -9       1.2621175362E-004
#     -7    -8       3.6235738833E-005
#     -7    -7       2.1373372350E-003
#     -7    -6       2.1702133866E-003
#     -7    -5       5.3502270349E-004
#     -7    -4       1.4876421082E-003
#     -7    -3       5.6119193591E-003
#     -7    -2       2.3252855634E-003
#     -7    -1       7.5086413404E-005
#     -7     0       6.6588688556E-004
#     -7     1       7.1133721746E-003
#     -7     2       6.1708454203E-004
#     -7     3       1.2620632392E-004
#     -7     4       9.2660294387E-004
#     -7     5       2.4731061285E-003
#     -7     6       2.3014545430E-003
#     -7     7       7.4041003618E-004
#     -7     8       3.9763348786E-003
#     -7     9       2.5904188285E-003
#     -7    10       7.3912629839E-004
#     -7    11       2.0915157446E-003
#     -7    12       3.5785643923E-005
#     -6   -16       5.4149755822E-005
#     -6   -15       1.1217160948E-004
#     -6   -14       7.7804132109E-005
#     -6   -13       2.7696820474E-004
#     -6   -12       1.3811790695E-004
#     -6   -11       8.3760431751E-004
#     -6   -10       6.2800624715E-004
#     -6    -9       2.5971189835E-003
#     -6    -8       1.0466464353E-003
#     -6    -7       2.2221959348E-004
#     -6    -6       1.1013184181E-002
#     -6    -5       1.9661677753E-003
#     -6    -4       3.1693812509E-004
#     -6    -3       2.0105136238E-002
#     -6    -2       2.3331466168E-003
#     -6    -1       7.8690576002E-004
#     -6     0       1.5987153793E-002
#     -6     1       4.5216696765E-004
#     -6     2       1.0107385259E-003
#     -6     3       9.7280653790E-003
#     -6     4       1.1043795775E-003
#     -6     5       5.5268013938E-005
#     -6     6       3.7658208071E-003
#     -6     7       1.3734884956E-004
#     -6     8       7.9291906316E-004
#     -6     9       7.1429243294E-003
#     -6    10       3.4135468655E-004
#     -6    11       2.4388363945E-003
#     -5   -16       1.3555507247E-005
#     -5   -15       3.7576435872E-005
#     -5   -14       1.1780483772E-004
#     -5   -13       9.3820369579E-004
#     -5   -12       4.5975270679E-006
#     -5   -11       3.0832434397E-004
#     -5   -10       1.6466879560E-003
#     -5    -9       1.4337333185E-005
#     -5    -8       6.7606495932E-004
#     -5    -7       9.3748720843E-006
#     -5    -6       5.4631972911E-004
#     -5    -5       1.6953791624E-003
#     -5    -4       1.7167362357E-003
#     -5    -3       2.6930695684E-003
#     -5    -2       2.7016276105E-004
#     -5    -1       3.4894308386E-003
#     -5     0       8.6517392484E-003
#     -5     1       1.7240544243E-003
#     -5     2       2.8016148873E-004
#     -5     3       2.3164131609E-003
#     -5     4       5.4593632262E-004
#     -5     5       2.2701517416E-003
#     -5     6       2.5158926659E-003
#     -5     7       3.1876164180E-003
#     -5     8       2.5499338735E-003
#     -5     9       8.8703361337E-003
#     -5    10       1.7286253149E-004
#     -5    11       1.6593923975E-003
#     -4   -16       3.8655476156E-005
#     -4   -15       5.1337284275E-005
#     -4   -14       3.2283462679E-004
#     -4   -13       9.5826795659E-004
#     -4   -12       1.6895900322E-004
#     -4   -11       1.3244140208E-003
#     -4   -10       1.0471619041E-003
#     -4    -9       2.6699842208E-004
#     -4    -8       9.9557717835E-004
#     -4    -7       4.0937584770E-004
#     -4    -6       1.1931115772E-004
#     -4    -5       1.4876503296E-003
#     -4    -4       8.1795204721E-005
#     -4    -3       5.0102570924E-004
#     -4    -2       9.8690442784E-004
#     -4    -1       7.2148601980E-005
#     -4     0       6.0071440244E-004
#     -4     1       9.6906578029E-004
#     -4     2       7.2859845943E-004
#     -4     3       8.7233631021E-004
#     -4     4       6.6412380996E-005
#     -4     5       9.3617870569E-004
#     -4     6       6.7375599942E-003
#     -4     7       4.3174504622E-003
#     -4     8       5.4013916591E-003
#     -4     9       2.2516937264E-003
#     -4    10       5.1057275957E-004
#     -3   -16       3.5541552446E-004
#     -3   -15       1.9554824593E-004
#     -3   -14       1.1757667049E-004
#     -3   -13       5.1677796182E-004
#     -3   -12       1.9798954693E-004
#     -3   -11       2.3197369345E-003
#     -3   -10       4.5117366836E-004
#     -3    -9       2.1729360273E-003
#     -3    -8       2.9382717564E-003
#     -3    -7       7.2881456480E-004
#     -3    -6       1.4334291465E-002
#     -3    -5       1.9380979256E-003
#     -3    -4       2.8876114608E-003
#     -3    -3       2.0538681430E-002
#     -3    -2       1.1333561640E-003
#     -3    -1       3.0629359363E-003
#     -3     0       3.0815433450E-003
#     -3     1       5.7939712841E-004
#     -3     2       8.2631204183E-005
#     -3     3       1.0196618189E-003
#     -3     4       8.3998295746E-004
#     -3     5       4.3993787451E-004
#     -3     6       8.5777775020E-003
#     -3     7       1.8543478871E-003
#     -3     8       1.9351844542E-003
#     -3     9       4.6954395692E-003
#     -2   -16       1.6471391808E-004
#     -2   -15       4.1567252276E-004
#     -2   -14       4.2227642321E-004
#     -2   -13       7.8688134104E-004
#     -2   -12       4.5757008528E-004
#     -2   -11       1.6056692870E-003
#     -2   -10       7.6378998635E-004
#     -2    -9       4.9401344870E-004
#     -2    -8       2.1813039715E-003
#     -2    -7       3.0587658026E-003
#     -2    -6       2.7550048945E-003
#     -2    -5       5.4591933070E-004
#     -2    -4       3.9087871121E-003
