 Diffraction intensities for potential:pot10001.in                             
#      3   -11       3.2207563475E-004
#      3   -10       2.7476681268E-005
#      3    -9       2.2949458035E-002
#      3    -8       1.0076920184E-004
#      3    -7       1.5525381293E-003
#      3    -6       5.2715510604E-002
#      3    -5       1.8852126954E-003
#      3    -4       3.3556721003E-004
#      3    -3       7.8060555221E-003
#      3    -2       5.2669428466E-004
#      3    -1       2.5585203515E-003
#      3     0       6.7656236302E-002
#      3     1       1.9109755906E-003
#      3     2       8.2689292032E-004
#      4   -14       7.0578003242E-004
#      4   -13       4.0625008827E-004
#      4   -12       4.3125955942E-005
#      4   -11       6.4209315988E-004
#      4   -10       6.6230004715E-004
#      4    -9       4.0852685498E-004
#      4    -8       1.4670862967E-004
#      4    -7       2.8814366966E-003
#      4    -6       2.0584450396E-003
#      4    -5       5.5217405300E-004
#      4    -4       1.1649340634E-003
#      4    -3       2.1130515044E-003
#      4    -2       2.7620950014E-003
#      4    -1       1.9109840925E-003
#      4     0       4.2343080920E-003
#      5   -13       2.1327798074E-003
#      5   -12       8.4865601397E-004
#      5   -11       5.2759433832E-004
#      5   -10       1.9265897397E-003
#      5    -9       2.5354725735E-003
#      5    -8       6.8052107598E-005
#      5    -7       7.8575604716E-004
#      5    -6       1.9237487319E-003
#      5    -5       2.0153129359E-004
#      5    -4       3.4439557067E-004
#      5    -3       2.6936530441E-004
#      5    -2       8.2691909793E-004
#      6   -11       1.2597923817E-003
#      6   -10       1.5677251546E-003
#      6    -9       2.1855360082E-002
#      6    -8       1.8676893102E-004
#      6    -7       9.1790601944E-004
#      6    -6       1.3864290351E-002
#      6    -5       7.1065997902E-004
