 Diffraction intensities for potential:g-5x5_00D10001.in                       
#     18    -7       2.2126555687E-050
#     18    -6       7.6140281490E-049
#     18    -5       3.3247481950E-019
#     18    -4       3.5936773258E-023
#     18    -3       5.4023832504E-028
#     18    -2       9.7284751453E-053
#     18    -1       1.9451272598E-049
#     18     0       1.0457595898E-019
#     18     1       1.0265652609E-023
#     18     2       1.9306341305E-029
#     18     3       4.3625251609E-049
#     18     4       4.3355153333E-050
#     18     5       1.4381850294E-020
#     18     6       1.1994965351E-024
#     18     7       1.0019450508E-029
#     18     8       5.2203613173E-046
#     18     9       2.4561732037E-051
#     19   -27       2.8473257453E-053
#     19   -26       1.0126742582E-023
#     19   -25       1.3137073635E-022
#     19   -24       1.6120426254E-052
#     19   -23       6.7228773210E-033
#     19   -22       1.3076635338E-051
#     19   -21       6.6841670344E-024
#     19   -20       4.7421517009E-021
#     19   -19       2.7371361118E-051
#     19   -18       1.0025863454E-029
#     19   -17       2.2734270196E-050
#     19   -16       8.6011376972E-024
#     19   -15       3.1312315947E-020
#     19   -14       1.3492206246E-050
#     19   -13       3.0354260229E-027
#     19   -12       6.5232234628E-050
#     19   -11       8.3424308858E-024
#     19   -10       6.4240228346E-020
#     19    -9       1.9589754487E-050
#     19    -8       6.3110688913E-026
#     19    -7       5.9722519355E-050
#     19    -6       5.3162879138E-024
#     19    -5       5.2466847658E-020
#     19    -4       1.0689496564E-050
#     19    -3       2.7400692494E-025
#     19    -2       2.9126932913E-050
#     19    -1       1.6016245895E-024
#     19     0       1.7865635172E-020
#     19     1       2.6950228535E-051
#     19     2       5.3242705911E-024
#     19     3       6.0218267839E-051
#     19     4       1.9429193168E-025
#     19     5       2.4075255417E-021
#     19     6       1.3218224604E-052
#     19     7       3.1201526011E-023
#     19     8       5.0479973427E-052
#     20   -27       1.1619286099E-025
#     20   -26       4.9282572488E-024
#     20   -25       1.4177383845E-003
#     20   -24       1.9616432363E-023
#     20   -23       1.6001862354E-020
#     20   -22       1.7661356496E-023
#     20   -21       2.7660295345E-022
#     20   -20       9.4133123424E-003
#     20   -19       2.8903484688E-022
#     20   -18       2.3462626122E-020
#     20   -17       1.8054842986E-022
#     20   -16       1.8865954088E-021
#     20   -15       1.6034011206E-002
#     20   -14       1.0386095100E-021
#     20   -13       4.4883505079E-020
#     20   -12       5.8956613957E-022
#     20   -11       4.2274448254E-021
#     20   -10       3.8747158524E-003
#     20    -9       1.2605625207E-021
#     20    -8       4.0057482046E-020
#     20    -7       7.1946452288E-022
#     20    -6       4.1759150384E-021
#     20    -5       1.1774098681E-002
#     20    -4       5.1361790372E-022
#     20    -3       1.3892348128E-020
#     20    -2       2.6522069485E-022
#     20    -1       1.7022397509E-021
#     20     0       3.2993822150E-003
#     20     1       8.2063693846E-023
#     20     2       2.4252584742E-021
#     20     3       4.0284627868E-021
#     20     4       2.3986643378E-022
#     20     5       5.2090974232E-004
#     20     6       3.5692812730E-024
#     20     7       3.9047781288E-023
#     21   -26       1.3155574306E-051
#     21   -25       1.3687994933E-023
#     21   -24       7.3466276074E-039
#     21   -23       5.6948096514E-050
#     21   -22       1.5250833602E-018
#     21   -21       2.3770157010E-052
#     21   -20       3.5632786697E-022
#     21   -19       4.1992614867E-035
#     21   -18       1.0044540384E-048
#     21   -17       2.3732990126E-019
#     21   -16       1.4207027227E-051
#     21   -15       1.7295457067E-021
#     21   -14       1.2189149005E-031
#     21   -13       7.5608719812E-050
#     21   -12       2.2075532470E-020
#     21   -11       5.5224494348E-051
#     21   -10       2.4282717446E-021
#     21    -9       1.1785064612E-028
#     21    -8       5.4016260373E-048
#     21    -7       1.5618190648E-021
#     21    -6       3.7517873926E-051
#     21    -5       1.0790854830E-021
#     21    -4       4.8763011552E-025
#     21    -3       6.6536464875E-049
#     21    -2       1.1676982422E-022
#     21    -1       1.5296205625E-051
#     21     0       2.1482316252E-022
#     21     1       6.5036252958E-021
#     21     2       1.4026850326E-048
#     21     3       3.6764012843E-024
#     21     4       2.0811410632E-052
#     21     5       1.0797547385E-023
#     22   -26       1.0825501937E-025
#     22   -25       2.9972105155E-023
#     22   -24       1.5273017484E-052
#     22   -23       1.0307886304E-051
#     22   -22       6.9420281414E-029
#     22   -21       2.1244071405E-021
#     22   -20       2.6305742426E-021
#     22   -19       1.0019832117E-051
#     22   -18       1.0020299847E-050
#     22   -17       9.4091285803E-028
#     22   -16       1.4558212488E-021
#     22   -15       1.5073232281E-020
#     22   -14       2.2351167792E-051
#     22   -13       2.0178844666E-050
#     22   -12       1.0478213089E-026
#     22   -11       8.1934725121E-022
#     22   -10       2.3634873989E-020
#     22    -9       3.6056850635E-051
#     22    -8       1.3139933346E-050
#     22    -7       1.6350182762E-025
#     22    -6       1.5356331560E-019
#     22    -5       1.2268381705E-020
#     22    -4       2.5452660172E-051
#     22    -3       3.5682266044E-051
#     22    -2       2.5149888275E-025
#     22    -1       2.4505497087E-019
#     22     0       2.4365684969E-021
#     22     1       2.3301379620E-050
#     22     2       3.9810464845E-052
#     22     3       7.4237799537E-025
#     22     4       1.4187156891E-020
#     23   -25       4.8047238596E-022
#     23   -24       1.7258712438E-026
#     23   -23       2.7434930567E-025
#     23   -22       7.9448411011E-053
#     23   -21       8.3239546907E-046
#     23   -20       7.3668860286E-021
#     23   -19       5.7443415818E-025
#     23   -18       2.1099846672E-023
#     23   -17       1.0923970608E-051
#     23   -16       1.6694711800E-046
#     23   -15       2.6645701418E-020
#     23   -14       3.1305438582E-024
#     23   -13       5.5708833124E-024
#     23   -12       1.5034408665E-051
#     23   -11       1.6616610809E-047
#     23   -10       2.9790687112E-020
#     23    -9       3.4253695923E-024
#     23    -8       1.3777567866E-023
#     23    -7       6.7780044053E-051
#     23    -6       8.3913596278E-049
#     23    -5       1.4379912423E-020
#     23    -4       1.2445401963E-024
#     23    -3       1.4059349818E-024
#     23    -2       1.1040045587E-048
#     23    -1       1.0872757656E-050
#     23     0       1.5646890592E-021
#     23     1       1.3599526366E-025
#     23     2       8.8422544616E-026
#     24   -24       3.5799946458E-053
#     24   -23       1.8054377415E-031
#     24   -22       1.7710620474E-051
#     24   -21       1.0562716008E-024
#     24   -20       1.9219243229E-021
#     24   -19       7.0408758549E-052
#     24   -18       1.0045842197E-028
#     24   -17       5.4726987723E-051
#     24   -16       1.9982953158E-025
#     24   -15       5.4347487395E-021
#     24   -14       1.7470125204E-051
#     24   -13       2.9702096362E-027
#     24   -12       5.2574531952E-051
#     24   -11       4.7492303290E-025
#     24   -10       6.3462085589E-021
#     24    -9       1.5274467882E-051
#     24    -8       1.5104066179E-026
#     24    -7       2.5360238928E-051
#     24    -6       1.8791033721E-025
#     24    -5       2.4075434079E-021
#     24    -4       4.4236345034E-052
#     24    -3       1.7172460882E-025
#     24    -2       7.1027651736E-052
#     24    -1       2.1266033363E-026
#     24     0       2.8906915499E-022
#     25   -23       3.3451124415E-021
#     25   -22       1.2797504928E-024
#     25   -21       6.3431715709E-023
#     25   -20       1.4177377156E-003
#     25   -19       4.7815892762E-023
#     25   -18       4.3487181995E-021
#     25   -17       2.7143972812E-023
#     25   -16       2.4780108433E-022
#     25   -15       1.1851061792E-003
#     25   -14       9.2506744953E-023
#     25   -13       4.0234443862E-021
#     25   -12       5.0250800954E-023
#     25   -11       3.0757537935E-022
#     25   -10       5.1204886954E-004
#     25    -9       5.0366475069E-023
#     25    -8       1.6550349892E-021
#     25    -7       3.1164217467E-023
#     25    -6       1.1665810832E-022
#     25    -5       5.2090982653E-004
#     25    -4       1.3493653561E-023
#     25    -3       2.5531724652E-022
#     25    -2       2.2702684133E-022
#     26   -22       7.5075317997E-020
#     26   -21       2.3511012720E-053
#     26   -20       3.7896090912E-023
#     26   -19       4.0915689824E-032
#     26   -18       2.1050985730E-046
#     26   -17       4.0430756281E-020
#     26   -16       1.1760060613E-052
#     26   -15       8.2199572917E-023
#     26   -14       1.1620161433E-028
#     26   -13       1.2420352430E-046
#     26   -12       6.7173719096E-021
#     26   -11       6.9664522196E-053
#     26   -10       4.5401390106E-023
#     26    -9       3.5167013323E-025
#     26    -8       7.0480186717E-046
#     26    -7       7.3757914773E-022
#     26    -6       2.6681027109E-052
#     26    -5       1.0797619707E-023
#     26    -4       3.7634077378E-022
#     27   -20       1.2339714405E-022
#     27   -19       4.6485909190E-052
#     27   -18       1.6082037278E-051
#     27   -17       1.0010109391E-028
#     27   -16       4.4309844710E-018
#     27   -15       6.5869502367E-022
#     27   -14       7.7005654174E-053
#     27   -13       1.1144314546E-051
#     27   -12       3.6318427641E-027
#     27   -11       1.0973943331E-020
#     27   -10       3.0166687436E-022
#     27    -9       2.6645048183E-052
#     27    -8       2.7259222084E-051
#     27    -7       3.0182340458E-027
#     28   -15       1.5489816514E-022
#     28   -14       2.3921299091E-026
#     28   -13       8.5728242242E-020
#    -34    11       3.5642694341E-033
#    -34    12       1.0327076629E-056
#    -34    13       2.1679693584E-037
#    -34    14       7.7794524590E-038
#    -34    15       3.3659124634E-029
#    -34    16       1.5686398229E-030
#    -34    17       7.6449856149E-057
#    -33     6       4.2671571887E-057
#    -33     7       1.0698658243E-057
#    -33     8       1.1267674901E-057
#    -33     9       5.4478670349E-040
#    -33    10       3.2737799774E-029
#    -33    11       8.7753445837E-056
#    -33    12       1.3864166341E-057
#    -33    13       2.5286005856E-057
#    -33    14       2.0095248707E-041
#    -33    15       4.3803917825E-029
#    -33    16       2.0607804890E-055
#    -33    17       2.3387477717E-058
#    -33    18       1.1324511198E-057
#    -33    19       1.6672186126E-041
#    -33    20       4.1783508769E-029
#    -32     4       1.0848973768E-052
#    -32     5       2.4344471080E-030
#    -32     6       1.3412649595E-054
#    -32     7       6.8378513454E-057
#    -32     8       1.3906422071E-059
#    -32     9       1.0462829497E-047
#    -32    10       6.2839102199E-030
#    -32    11       2.4308298077E-053
#    -32    12       6.6508362890E-057
#    -32    13       3.2421924193E-059
#    -32    14       1.2760706582E-043
#    -32    15       4.9796858531E-030
#    -32    16       2.7672700941E-050
#    -32    17       1.6840913788E-057
#    -32    18       1.5581095556E-059
#    -32    19       2.1830456961E-040
#    -32    20       1.9433029077E-030
#    -32    21       4.7143275887E-048
#    -32    22       1.7624647876E-057
#    -31     1       2.1055761331E-053
#    -31     2       8.9234850801E-036
#    -31     3       1.3442012434E-058
#    -31     4       2.3858694151E-057
#    -31     5       3.3341550387E-029
#    -31     6       1.6999575878E-053
#    -31     7       1.5488112797E-035
#    -31     8       1.8703862604E-058
#    -31     9       1.2547684525E-057
#    -31    10       8.9086711386E-029
#    -31    11       7.7075293735E-054
#    -31    12       2.9261223835E-035
#    -31    13       2.1964630646E-059
#    -31    14       1.6177609508E-057
#    -31    15       6.2148957945E-029
#    -31    16       2.2086806235E-054
#    -31    17       1.3373443783E-035
#    -31    18       5.7217055889E-059
#    -31    19       1.6234256006E-057
#    -31    20       1.5992749594E-029
#    -31    21       2.4144926928E-055
#    -31    22       2.1210078048E-036
#    -31    23       1.4717328314E-059
#    -30    -1       8.9293595040E-030
#    -30     0       1.0775063011E-004
#    -30     1       2.5795894083E-020
#    -30     2       1.9567691389E-028
#    -30     3       7.9643443144E-030
#    -30     4       2.5867150090E-028
#    -30     5       6.3921703140E-004
#    -30     6       4.6004697604E-021
#    -30     7       1.4646728943E-027
#    -30     8       3.3692030850E-029
#    -30     9       7.9654952888E-028
#    -30    10       6.6837245114E-004
#    -30    11       7.9379537802E-023
#    -30    12       2.0924764463E-027
#    -30    13       3.9556358593E-029
#    -30    14       7.9338069493E-028
#    -30    15       3.3371999701E-004
#    -30    16       1.1984101244E-022
#    -30    17       1.0100055354E-027
#    -30    18       1.4774171220E-029
#    -30    19       2.8921434988E-028
#    -30    20       3.5689122744E-004
#    -30    21       2.4837465832E-023
#    -30    22       2.4136728664E-028
#    -30    23       1.9885802618E-030
#    -30    24       2.6341056988E-029
#    -29    -2       5.1369024103E-035
#    -29    -1       6.7575951332E-034
#    -29     0       1.9017904750E-027
#    -29     1       1.1628466012E-036
#    -29     2       1.4444186788E-056
#    -29     3       2.1443125044E-036
#    -29     4       1.4986512648E-034
#    -29     5       1.8548452472E-026
#    -29     6       9.4322340871E-034
#    -29     7       7.9159780878E-056
#    -29     8       7.6392675626E-036
#    -29     9       1.9212251698E-035
#    -29    10       3.6848095932E-026
#    -29    11       2.7446357466E-031
#    -29    12       1.1476643695E-055
#    -29    13       4.6945047374E-036
#    -29    14       1.5757325322E-036
#    -29    15       2.1613267203E-026
#    -29    16       3.1732972282E-029
#    -29    17       6.5891714333E-056
#    -29    18       5.6576600404E-037
#    -29    19       4.4219074802E-037
#    -29    20       5.4592319215E-027
#    -29    21       2.9641330853E-027
#    -29    22       1.0160006414E-055
#    -29    23       1.7160681059E-037
#    -29    24       1.0788019804E-037
#    -29    25       6.0955712831E-028
#    -28    -4       6.5317364174E-052
#    -28    -3       1.6479765949E-057
#    -28    -2       5.4873613935E-058
#    -28    -1       2.7654536013E-035
#    -28     0       5.5026510583E-028
#    -28     1       8.6435188822E-051
#    -28     2       4.6807388394E-057
#    -28     3       2.7674411324E-057
#    -28     4       7.3219013352E-036
#    -28     5       6.7977410683E-027
#    -28     6       2.3204373905E-050
#    -28     7       2.0400780059E-056
#    -28     8       2.9370354861E-057
#    -28     9       1.5279588966E-036
#    -28    10       1.3032497017E-026
#    -28    11       3.0696763092E-050
#    -28    12       1.9667599069E-056
#    -28    13       5.6964266236E-058
#    -28    14       2.8494665128E-037
#    -28    15       7.1955564167E-027
#    -28    16       1.4939282038E-050
#    -28    17       4.0993093923E-057
#    -28    18       2.2839341546E-058
#    -28    19       3.9594841920E-038
#    -28    20       2.0669544529E-027
#    -28    21       3.0065970267E-051
#    -28    22       6.3262865189E-057
#    -28    23       1.5445588719E-057
#    -28    24       2.4407897633E-039
#    -28    25       6.8544218295E-029
#    -28    26       2.0637109115E-052
#    -27    -6       7.4224517915E-057
#    -27    -5       2.4452238728E-030
#    -27    -4       5.7847347147E-054
#    -27    -3       7.7317782216E-057
#    -27    -2       6.1024622662E-059
#    -27    -1       1.4498063908E-051
#    -27     0       1.0915255614E-028
#    -27     1       4.8604622143E-054
#    -27     2       3.6271430943E-057
#    -27     3       4.9287104305E-058
#    -27     4       1.9021510521E-047
#    -27     5       6.0566657402E-028
#    -27     6       9.9865955681E-054
#    -27     7       2.0582168432E-057
#    -27     8       7.5315440125E-058
#    -27     9       7.2493702371E-044
#    -27    10       8.6382612724E-028
#    -27    11       5.6755817358E-051
#    -27    12       2.7908682165E-057
#    -27    13       8.2727680343E-058
#    -27    14       1.3520558223E-040
#    -27    15       4.3803165337E-028
#    -27    16       7.8793445330E-049
#    -27    17       1.3914864084E-057
#    -27    18       5.2764750496E-058
#    -27    19       4.4545092017E-035
#    -27    20       1.2076678459E-028
#    -27    21       2.3246550290E-047
#    -27    22       6.7076802388E-058
#    -27    23       1.4256829984E-058
#    -27    24       1.5076955368E-030
#    -27    25       1.7115168954E-029
#    -27    26       6.6597080318E-047
#    -26    -7       7.8213027762E-059
#    -26    -6       4.1709367917E-055
#    -26    -5       3.3355343695E-029
#    -26    -4       4.7017658580E-053
#    -26    -3       8.1773523898E-037
#    -26    -2       2.1087967403E-059
#    -26    -1       1.6067540530E-055
#    -26     0       1.0570196159E-027
#    -26     1       1.5707455213E-053
#    -26     2       4.2118376411E-036
#    -26     3       2.6409107065E-057
#    -26     4       2.1874599992E-055
#    -26     5       5.1406522172E-027
#    -26     6       7.2657191174E-054
#    -26     7       4.0027988208E-035
#    -26     8       2.0681173497E-056
#    -26     9       1.2636032014E-055
#    -26    10       7.5683313326E-027
#    -26    11       5.3819406361E-054
#    -26    12       1.2291816725E-035
#    -26    13       3.5951220995E-056
#    -26    14       2.4595163294E-056
#    -26    15       4.2711569583E-027
#    -26    16       1.5250217745E-054
#    -26    17       1.1234638513E-036
#    -26    18       1.6186630177E-056
#    -26    19       4.9564376483E-057
#    -26    20       1.0033721983E-027
#    -26    21       4.3404734988E-055
#    -26    22       2.4414555688E-038
#    -26    23       2.1316191247E-057
#    -26    24       2.9311878827E-057
#    -26    25       8.3083306143E-029
#    -26    26       3.3898310698E-056
#    -26    27       3.9503296657E-037
#    -25    -8       2.4159759618E-029
#    -25    -7       1.6046105129E-030
#    -25    -6       1.3672490329E-028
#    -25    -5       6.3921643471E-004
#    -25    -4       1.7424694898E-019
#    -25    -3       3.3801823749E-027
#    -25    -2       1.0853663874E-028
#    -25    -1       4.8354370732E-027
#    -25     0       4.1204677780E-003
#    -25     1       1.7056998580E-020
#    -25     2       4.5693798049E-026
#    -25     3       1.1298461328E-027
#    -25     4       3.2776868153E-026
#    -25     5       7.5142538773E-003
#    -25     6       1.5021458011E-021
#    -25     7       1.6133884112E-025
#    -25     8       3.1548929250E-027
#    -25     9       6.4694153800E-026
#    -25    10       3.4663275856E-003
#    -25    11       4.8906994238E-022
#    -25    12       1.7564599905E-025
#    -25    13       2.9570539097E-027
#    -25    14       4.8704532329E-026
#    -25    15       3.4342196226E-003
#    -25    16       1.1176955418E-022
#    -25    17       6.9732521114E-026
#    -25    18       9.1877772815E-028
#    -25    19       1.5328483613E-026
#    -25    20       2.4419535575E-003
#    -25    21       1.7483698709E-023
#    -25    22       1.3223623038E-026
#    -25    23       1.0708395544E-028
#    -25    24       1.9259550535E-027
#    -25    25       2.9737147767E-004
#    -25    26       2.5038478528E-024
#    -25    27       7.5065380969E-028
#    -24    -9       2.2922759809E-041
#    -24    -8       1.1065283662E-057
#    -24    -7       1.2093405399E-035
#    -24    -6       4.1298061513E-031
#    -24    -5       1.8549456198E-026
#    -24    -4       3.0787375422E-037
#    -24    -3       7.3893902858E-056
#    -24    -2       6.8916770676E-036
#    -24    -1       5.6763121333E-032
#    -24     0       3.6927901779E-025
#    -24     1       1.7087616442E-034
#    -24     2       7.7911424977E-055
#    -24     3       7.6435462291E-035
#    -24     4       6.6100937049E-033
#    -24     5       1.7042684231E-024
#    -24     6       4.2362154094E-032
#    -24     7       1.8129357924E-054
#    -24     8       1.3342500304E-034
#    -24     9       7.0207326952E-034
#    -24    10       2.5464302547E-024
#    -24    11       3.8241560651E-030
#    -24    12       1.4217861279E-054
#    -24    13       1.0667415937E-034
#    -24    14       8.9387116174E-035
#    -24    15       1.3586797814E-024
#    -24    16       4.2911996505E-028
#    -24    17       3.5629815863E-055
#    -24    18       4.9501277492E-035
#    -24    19       7.7725277483E-036
#    -24    20       3.1820209300E-025
#    -24    21       6.0062127241E-027
#    -24    22       8.5131339093E-057
#    -24    23       8.8568615333E-036
#    -24    24       2.3168008809E-037
#    -24    25       3.4339417021E-026
#    -24    26       1.8588658707E-026
#    -24    27       1.2233588909E-055
#    -23   -11       8.4813913202E-032
#    -23   -10       3.2816456520E-029
#    -23    -9       1.9502707960E-048
#    -23    -8       9.2045628967E-058
#    -23    -7       4.9012261184E-058
#    -23    -6       2.2445039503E-032
#    -23    -5       6.8001007575E-027
#    -23    -4       3.3534886539E-047
#    -23    -3       2.6793129966E-056
#    -23    -2       2.0853573627E-057
#    -23    -1       4.0663262953E-033
#    -23     0       1.4226145903E-025
#    -23     1       1.1463037974E-046
#    -23     2       2.7857698413E-055
#    -23     3       1.8563985269E-056
#    -23     4       9.5534857795E-034
#    -23     5       6.0696950659E-025
#    -23     6       1.8369517498E-046
#    -23     7       6.2478221656E-055
#    -23     8       5.0507742099E-056
#    -23     9       2.7869576826E-034
#    -23    10       8.0808091236E-025
#    -23    11       1.6447699954E-046
#    -23    12       6.3459308209E-055
#    -23    13       5.0185155132E-056
#    -23    14       6.5179146567E-035
#    -23    15       3.9598586324E-025
#    -23    16       6.7056245639E-047
#    -23    17       2.7107078605E-055
#    -23    18       2.6158905017E-056
#    -23    19       9.2353678864E-036
#    -23    20       8.5205737479E-026
#    -23    21       1.0382342589E-047
#    -23    22       4.2241447733E-056
#    -23    23       3.4437251700E-057
#    -23    24       5.9911056081E-037
#    -23    25       8.2913293353E-027
#    -23    26       4.4098792504E-049
#    -23    27       1.3931543829E-057
#    -22   -12       2.0997866600E-058
#    -22   -11       4.4377577278E-056
#    -22   -10       6.2618359158E-030
#    -22    -9       1.6272734185E-052
#    -22    -8       3.9788226225E-056
#    -22    -7       8.7256407248E-058
#    -22    -6       3.7925656733E-051
#    -22    -5       6.0504397111E-028
#    -22    -4       1.4784234541E-053
#    -22    -3       4.0005854850E-056
#    -22    -2       9.4149330138E-057
#    -22    -1       4.5638457267E-047
#    -22     0       9.6820518369E-027
#    -22     1       2.3275017158E-054
#    -22     2       3.3279620499E-055
#    -22     3       3.0186362955E-056
#    -22     4       1.3265921332E-043
#    -22     5       3.3244706709E-026
#    -22     6       1.8555293714E-051
#    -22     7       1.1830956622E-054
#    -22     8       4.6322574088E-056
#    -22     9       7.0713696096E-040
#    -22    10       3.8893756002E-026
#    -22    11       1.2517658248E-049
#    -22    12       1.3561153341E-054
#    -22    13       3.7769442971E-056
#    -22    14       2.4986994288E-035
#    -22    15       1.8483324144E-026
#    -22    16       3.0235221651E-048
#    -22    17       5.4930341117E-055
#    -22    18       1.1974385715E-056
#    -22    19       3.8821229707E-031
#    -22    20       4.0782682415E-027
#    -22    21       1.0913101195E-047
#    -22    22       8.0442022326E-056
#    -22    23       1.2792839201E-057
#    -22    24       1.6393485076E-027
#    -22    25       3.5734292510E-028
#    -22    26       5.7919831965E-048
#    -22    27       1.8670165924E-057
#    -21   -13       1.0804814750E-038
#    -21   -12       5.8374994648E-059
#    -21   -11       1.4283054911E-052
#    -21   -10       8.9083392042E-029
#    -21    -9       5.8273898733E-052
#    -21    -8       1.4254170857E-037
#    -21    -7       2.1132097399E-057
#    -21    -6       2.1228036792E-053
#    -21    -5       5.1399619067E-027
#    -21    -4       3.1371865574E-052
#    -21    -3       2.4366474396E-036
#    -21    -2       8.9887741312E-056
#    -21    -1       6.2316823730E-053
#    -21     0       5.7785679638E-026
#    -21     1       8.7017629150E-053
#    -21     2       2.2717288507E-036
#    -21     3       5.5344384661E-055
#    -21     4       8.2766932011E-053
#    -21     5       1.8225217221E-025
#    -21     6       9.6462317071E-054
#    -21     7       7.6870710689E-036
#    -21     8       1.2429404077E-054
#    -21     9       5.9845143218E-053
#    -21    10       1.9973006081E-025
#    -21    11       2.6903500474E-054
#    -21    12       7.3221835019E-036
#    -21    13       1.1328830328E-054
#    -21    14       2.6168513226E-053
#    -21    15       9.2812988320E-026
#    -21    16       1.6555976501E-054
#    -21    17       2.5178752348E-036
#    -21    18       3.4163021954E-055
#    -21    19       5.9310065874E-054
#    -21    20       1.9256019520E-026
#    -21    21       4.0708181473E-055
#    -21    22       2.0587805427E-036
#    -21    23       3.0324975913E-056
#    -21    24       5.9532154839E-055
#    -21    25       1.4503612229E-027
#    -21    26       6.7018053624E-056
#    -21    27       4.5679227852E-037
#    -21    28       2.4296933373E-059
#    -20   -14       7.4338483266E-017
#    -20   -13       6.2385767467E-029
#    -20   -12       3.7834636308E-030
#    -20   -11       2.6644133007E-028
#    -20   -10       6.6837171516E-004
#    -20    -9       1.2366441258E-017
#    -20    -8       1.1843531092E-026
#    -20    -7       3.4258276428E-028
#    -20    -6       1.8534167392E-026
#    -20    -5       7.5142530504E-003
#    -20    -4       1.5762528155E-018
#    -20    -3       3.2005512675E-025
#    -20    -2       7.8355322822E-027
#    -20    -1       2.4658593357E-025
#    -20     0       2.2300263985E-002
#    -20     1       2.7530571036E-019
#    -20     2       2.1671994937E-024
#    -20     3       4.4307477635E-026
#    -20     4       1.0173826525E-024
#    -20     5       1.7452193574E-002
#    -20     6       8.3191485201E-020
#    -20     7       5.4810387725E-024
#    -20     8       9.4596452636E-026
#    -20     9       1.6045416380E-024
#    -20    10       7.1013953465E-003
#    -20    11       2.9755696172E-020
#    -20    12       5.1420861264E-024
#    -20    13       7.9839638035E-026
#    -20    14       1.0675112773E-024
#    -20    15       1.9341444189E-002
#    -20    16       7.1494413228E-021
#    -20    17       1.8327408273E-024
#    -20    18       2.2647083198E-026
#    -20    19       2.8361454132E-025
#    -20    20       5.3762910936E-003
#    -20    21       8.3077886407E-022
#    -20    22       2.5581893267E-025
#    -20    23       1.9442784495E-027
#    -20    24       3.2347763537E-026
#    -20    25       7.5096910163E-004
#    -20    26       3.6567947559E-023
#    -20    27       9.9752742602E-027
#    -20    28       6.9959564544E-030
#    -19   -15       3.3663011281E-029
#    -19   -14       8.4523788849E-043
#    -19   -13       6.2743652000E-057
#    -19   -12       4.3722534793E-035
#    -19   -11       3.4978410646E-031
#    -19   -10       3.6850159964E-026
#    -19    -9       6.4246069252E-038
#    -19    -8       1.5488578796E-055
#    -19    -7       5.5893521591E-035
#    -19    -6       1.3257428846E-031
#    -19    -5       1.7042249341E-024
#    -19    -4       4.0144185666E-035
#    -19    -3       3.0914296955E-054
#    -19    -2       2.7506352956E-034
#    -19    -1       3.4086384111E-032
#    -19     0       1.5968886343E-023
#    -19     1       8.3894472687E-033
#    -19     2       1.6106590286E-053
#    -19     3       1.6268976217E-033
#    -19     4       7.3544539308E-033
#    -19     5       5.0542170493E-023
#    -19     6       5.4420959356E-031
#    -19     7       3.6350804452E-053
#    -19     8       3.2046626123E-033
#    -19     9       1.5972351822E-033
#    -19    10       6.2119977038E-023
#    -19    11       7.4758363883E-029
#    -19    12       3.4499561195E-053
#    -19    13       2.5426121407E-033
#    -19    14       2.8969617598E-034
#    -19    15       3.1021350152E-023
#    -19    16       9.4505210199E-028
#    -19    17       1.3528168809E-053
#    -19    18       7.4506345472E-034
#    -19    19       2.8572733778E-035
#    -19    20       6.3036086066E-024
#    -19    21       4.1735469495E-027
#    -19    22       1.6504369829E-054
#    -19    23       6.4692306646E-035
#    -19    24       9.6343817211E-037
#    -19    25       4.5936134890E-025
#    -19    26       4.3267867953E-028
#    -19    27       1.5529565728E-055
#    -19    28       7.9084773921E-037
#    -18   -16       3.7348954955E-029
#    -18   -15       4.7405629515E-029
#    -18   -14       1.4567516135E-045
#    -18   -13       8.6067981451E-058
#    -18   -12       1.5257508210E-057
#    -18   -11       6.5349543761E-030
#    -18   -10       1.3007921464E-026
#    -18    -9       3.1572685266E-044
#    -18    -8       8.8851151695E-056
#    -18    -7       1.0317371162E-057
#    -18    -6       1.0086618302E-030
#    -18    -5       6.0682001959E-025
#    -18    -4       3.6670575996E-043
#    -18    -3       1.3579141765E-054
#    -18    -2       6.6339856116E-056
#    -18    -1       1.9976380146E-031
#    -18     0       5.2200026684E-024
#    -18     1       9.1884727195E-043
#    -18     2       6.5102186130E-054
#    -18     3       2.9924076315E-055
#    -18     4       5.0879976078E-032
#    -18     5       1.4069952574E-023
#    -18     6       1.2690148554E-042
#    -18     7       1.3807514850E-053
#    -18     8       6.5696130830E-055
#    -18     9       1.3761232713E-032
#    -18    10       1.5249936649E-023
#    -18    11       9.0029290988E-043
#    -18    12       1.2662996210E-053
#    -18    13       6.8266942203E-055
#    -18    14       2.9515563901E-033
#    -18    15       7.3374168188E-024
#    -18    16       3.1673172731E-043
#    -18    17       4.9505729783E-054
#    -18    18       2.5062765703E-055
#    -18    19       3.7734075573E-034
#    -18    20       1.5091467264E-024
#    -18    21       4.4934280410E-044
#    -18    22       6.3011709115E-055
#    -18    23       2.2268740194E-056
#    -18    24       1.9806716277E-035
#    -18    25       1.1044799839E-025
#    -18    26       1.7267269740E-045
#    -18    27       2.0263831750E-056
#    -17   -17       1.1011920945E-058
#    -17   -16       5.0582502178E-056
#    -17   -15       5.0038320292E-030
#    -17   -14       6.9538700726E-051
#    -17   -13       4.3957629321E-056
#    -17   -12       1.0575521795E-057
#    -17   -11       4.6367789717E-051
#    -17   -10       8.6366439629E-028
#    -17    -9       5.5641380254E-051
#    -17    -8       2.2873436624E-055
#    -17    -7       2.5659503726E-056
#    -17    -6       8.0354440380E-047
